problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,1.81640625,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.050,1.6796875,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,11.90%,0.040,3.6171875,,0,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,100.00%,0.270,62.90625,,3,6,6,0,0,0,0,0
s5,RUNTIME_ERROR,7,46.67%,68.75%,0.520,61.59375,,3,4,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.090,9.03515625,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,0.00%,1.90%,0.270,58.53125,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,6.73%,0.120,28.109375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,18,72.00%,68.75%,0.040,1.75390625,,1,3,4,5,5,0,0,0
d2p2,RUNTIME_ERROR,11,44.00%,45.31%,0.150,18.82421875,,2,0,0,0,4,5,0,0
d2p3,ACCEPTED,25,100.00%,100.00%,0.140,15.2109375,,5,5,5,5,5,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.060,2.84765625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.000,0,,2,2,2,9,0,0,0,0
TOTAL,,206,,75.21%,,,62.50%,,,,,,,,
