problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.120,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,100.00%,0.120,18.703125,,2,3,3,7,0,0,0
s5,RUNTIME_ERROR,2,13.33%,28.32%,0.050,10.83203125,,2,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.730,61.26171875,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,0.490,85.53515625,,3,4,5,6,7,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0,0,0
d2p2,ACCEPTED,25,100.00%,100.00%,0.610,110.28515625,,3,4,5,6,7,0,0
d2p3,RUNTIME_ERROR,0,0.00%,2.30%,0.100,42.0234375,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.050,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.050,2.26953125,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,197,,70.66%,,,68.75%,,,,,,,
