problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,3.015625,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,1.55859375,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,10.71%,0.140,34.5546875,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,6,40.00%,32.35%,0.090,1.5546875,,0,6,0,0,0,0,0,0
s5,RUNTIME_ERROR,3,20.00%,28.12%,0.060,4.4453125,,3,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.090,9.03515625,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,0.00%,1.90%,0.130,62.3984375,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,4.81%,0.540,79.671875,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,4.00%,29.46%,0.040,1.671875,,1,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,2.34%,0.180,15.15234375,,0,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,0.00%,52.83%,0.110,2.84765625,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.060,3.015625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,2,2,2,9,0,0,0,0
TOTAL,,140,,60.16%,,,50.00%,,,,,,,,
