problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.130,3.62109375,,15,20,35,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.00%,0.110,1.57421875,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.180,10.0625,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.00%,0.130,15.734375,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.170,16.46484375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.060,0.00390625,,19,26,29,36,0
slasticarnica,TIME_LIMIT_EXCEEDED,79,71.82%,77.50%,2.410,79.39453125,,21,0,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.090,2.07421875,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.150,1.55859375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,1.240,37.99609375,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.130,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,25.00%,0.050,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,0,0.00%,2.38%,3.610,6.78515625,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.060,7.484375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.100,3.62109375,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,9.09%,0.220,12.93359375,,0,0,0,0,0
iksevi,RUNTIME_ERROR,0,0.00%,0.00%,0.160,0.00390625,,0,0,0,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.290,169.1953125,,11,22,27,18,32
TOTAL,,1439,,68.56%,,,64.00%,,,,,
