problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,TIME_LIMIT_EXCEEDED,44,68.75%,1.230,7.484375,,8,17,19,0,0
milano,ACCEPTED,110,100.00%,0.050,4.39453125,,21,18,31,40,0
restorani,MEMORY_LIMIT_EXCEEDED,0,0.68%,0.100,23.984375,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.92%,0.060,10.05859375,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.030,6.07421875,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.020,0.00390625,,0,0,0,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.060,3.6171875,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.030,0,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.040,3.62109375,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,68.35%,2.410,5.41796875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,10,20.45%,2.410,22.9765625,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.030,6.1953125,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.030,2.58984375,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.060,18.57421875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.130,9.2890625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.030,2.30859375,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.210,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.020,0,,0,0,0,0,0
mostovi,RUNTIME_ERROR,0,0.00%,0.040,9.02734375,,0,0,0,0,0
TOTAL,,1045,55.95%,,,48.00%,,,,,
