problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,43,43.00%,54.39%,0.860,96.6796875,,5,0,19,19,0,0,0,0,0,0
game,TIME_LIMIT_EXCEEDED,0,0.00%,2.70%,1.810,9.98828125,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,7.38%,0.110,2.07421875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,20,20.00%,0.00%,0.190,1.80859375,,1.74569,1.7815800000000002,1.83025,1.8659899999999998,1.90143,1.95442,2.00443,2.06189,2.15504,2.23298
travel,RUNTIME_ERROR,0,0.00%,3.57%,0.360,59.78125,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,0.00%,11.24%,0.000,0,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.180,7.26953125,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.160,4.6171875,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.00%,0.100,0.00390625,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.110,2.84765625,,0,0,0,0,0,0,0,0,0,0
TOTAL,,263,,25.39%,,,18.18%,,,,,,,,,,
