problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-oss-120b-low,ACCEPTED,100,100.00%,100.00%,1.290,72.71484375
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,gpt-oss-120b-low,RUNTIME_ERROR,6,6.00%,43.28%,0.170,9.08203125
2023-sp_Belt_Conveyor,gpt-oss-120b-low,RUNTIME_ERROR,1,1.00%,12.90%,0.680,6.83203125
2023-sp_Council,gpt-oss-120b-low,ACCEPTED,100,100.00%,100.00%,0.840,15.734375
2023-sp_Mizuyokan_2,gpt-oss-120b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0
2023-sp_Cookies,gpt-oss-120b-low,RUNTIME_ERROR,13,13.00%,71.59%,0.190,27.58984375
2023-sp_Tourism,gpt-oss-120b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,gpt-oss-120b-low,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,5.95%,0.170,0.00390625
2023-sp_Bitaro’s_travel,gpt-oss-120b-low,RUNTIME_ERROR,0,0.00%,14.52%,0.150,0.00390625
