problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.100,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.020,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.030,0.00390625,,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,0.00%,18.58%,1.210,10.57421875,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.830,106.53125,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,0.450,77.6953125,,3,4,5,6,7,0,0
d1p3,RUNTIME_ERROR,0,0.00%,3.42%,0.110,20.01171875,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.56%,0.050,11.35546875,,0,0,0,0,0,0,0
d2p3,MEMORY_LIMIT_EXCEEDED,5,20.00%,32.18%,0.460,1196.48828125,,3,2,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.020,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.020,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.030,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.020,2.265625,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.020,1.5546875,,1,4,5,5,0,0,0
TOTAL,,160,,59.80%,,,56.25%,,,,,,,
