problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,1.8671875,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,1.55859375,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,10.71%,0.070,38.41796875,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,6,40.00%,32.35%,0.220,32.23046875,,0,6,0,0,0,0,0,0
s5,RUNTIME_ERROR,3,20.00%,28.12%,0.070,3.36328125,,3,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.100,9.03515625,,3,3,4,4,4,7,0,0
d1p2,RUNTIME_ERROR,0,0.00%,1.90%,0.090,9.03515625,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,4.81%,0.120,28.1015625,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,4.00%,29.46%,0.040,1.49609375,,1,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,2,8.00%,10.94%,0.120,17.6328125,,2,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,5,20.00%,69.81%,0.340,37.90625,,0,0,0,5,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,1.8671875,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.040,0,,2,2,2,9,0,0,0,0
TOTAL,,147,,61.76%,,,50.00%,,,,,,,,
