problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,10,10.00%,12.73%,0.180,25.2734375,,0,10.0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.160,7.43359375,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,15.05%,0.110,2.8984375,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.390,13.671875,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,10,10.00%,17.17%,0.260,14.703125,,0,0,0,0,0,0,0,10.0,0,0,0,0,0
Order_Statistics,ACCEPTED,100,100.00%,100.00%,3.100,20.4765625,,0.0,4.0,13.0,9.0,8.0,5.0,6.0,7.0,11.0,9.0,10.0,7.0,11.0
Best_Runner,ACCEPTED,100,100.00%,100.00%,0.140,9.546875,,0.0,23.0,0,0,0,10.0,16.0,19.0,11.0,21.0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.55078125,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,RUNTIME_ERROR,51,51.00%,80.56%,2.060,16.9375,,0.0,10.0,0,0,0,8.0,0,14.0,0,11.0,8.0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.490,89.72265625,,0.0,10.0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,100.00%,0.630,233.6796875,,0.0,8.0,11.0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.310,21.90234375,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,100.00%,0.490,61.84375,,0.0,8.0,0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.150,10.27734375,,0.0,17.0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,1075,,66.21%,,,58.82%,,,,,,,,,,,,,
