competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-120b_sp1,39787,50.52%,0.49,53.80,34.69%
APIO-2023,gpt-oss-120b_sp1,15,14.28%,0.89,19.47,0.00%
APIO-2024,gpt-oss-120b_sp1,105,39.29%,0.20,9.85,33.33%
BOI-2023,gpt-oss-120b_sp1,224,48.51%,0.31,11.46,16.67%
BOI-2024,gpt-oss-120b_sp1,356,65.67%,0.17,30.73,50.00%
BOI-2025,gpt-oss-120b_sp1,73,20.14%,0.86,17.26,0.00%
CCO-2023,gpt-oss-120b_sp1,147,61.76%,0.08,11.41,50.00%
CCO-2024,gpt-oss-120b_sp1,155,57.55%,0.21,16.41,56.25%
CEOI-2023,gpt-oss-120b_sp1,60,18.84%,0.35,419.40,0.00%
CEOI-2024,gpt-oss-120b_sp1,160,51.33%,0.18,46.43,16.67%
COCI-2023,gpt-oss-120b_sp1,1720,81.67%,0.18,22.65,79.17%
COCI-2024,gpt-oss-120b_sp1,1387,69.43%,0.25,17.22,60.00%
COCI-2025,gpt-oss-120b_sp1,1440,74.73%,0.31,17.51,64.00%
EGOI-2023,gpt-oss-120b_sp1,200,25.71%,0.06,3.77,25.00%
EGOI-2024,gpt-oss-120b_sp1,337,53.29%,0.07,5.28,37.50%
EJOI-2023,gpt-oss-120b_sp1,197,36.64%,0.19,28.24,16.67%
EJOI-2024,gpt-oss-120b_sp1,319,59.60%,0.30,31.79,50.00%
IATI-2024,gpt-oss-120b_sp1,407,37.44%,0.30,14.21,27.27%
IOI-2023,gpt-oss-120b_sp1,32,15.18%,0.04,8.85,0.00%
IOI-2024,gpt-oss-120b_sp1,112,38.49%,1.20,414.30,0.00%
JOI-2023,gpt-oss-120b_sp1,482,46.27%,1.01,23.05,20.00%
JOI-2024,gpt-oss-120b_sp1,470,33.06%,0.67,16.41,20.00%
JOI-2025,gpt-oss-120b_sp1,249,61.61%,0.93,21.41,40.00%
NOINordic-2023,gpt-oss-120b_sp1,247,94.01%,1.77,193.52,66.67%
NOINordic-2024,gpt-oss-120b_sp1,117,47.34%,0.21,5.95,33.33%
NOINordic-2025,gpt-oss-120b_sp1,167,55.73%,0.80,79.80,33.33%
OOI-2023,gpt-oss-120b_sp1,889,60.76%,0.86,56.92,35.29%
OOI-2024,gpt-oss-120b_sp1,1075,66.21%,0.50,31.17,58.82%
RMI-2023,gpt-oss-120b_sp1,251,53.23%,0.75,22.50,33.33%
RMI-2024,gpt-oss-120b_sp1,127,29.85%,0.54,31.16,16.67%
USACO-2023,gpt-oss-120b_sp1,11196,71.97%,0.45,23.59,66.67%
USACO-2024,gpt-oss-120b_sp1,9733,63.58%,0.65,51.10,47.92%
USACO-2025,gpt-oss-120b_sp1,7338,63.63%,0.36,18.71,55.56%
