solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
2024-sp_Ski_2_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.060,2.12890625,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,0.00390625,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,19.40%,0.180,8.3984375,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.100,5.09375,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_5.cpp,RUNTIME_ERROR,0,0.00%,0.85%,0.020,0.00390625,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_6.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.410,3.4140625,0,0,0,0,0,0
2024-sp_Ski_2_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,1.69%,0.020,2.328125,0,0,0,0,0,0
