problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_19,subtask_2,subtask_20,subtask_21,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
platinum_Forklift_Certified,RUNTIME_ERROR,95,29.50%,25.00%,0.200,10.03125,,0,0,0,0,23.809523809523807,23.809523809523807,23.809523809523807,0,0,0,0,0,0,0,0,0,23.809523809523807,0,0,0,0,0
platinum_Lazy_Sort,WRONG_ANSWER,0,0.00%,6.67%,0.100,77.61328125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup,TIME_LIMIT_EXCEEDED,19,5.86%,15.00%,4.810,130.46484375,,0,0,0,0,0,0,0,0,0,0,0,0,18.51851851851852,0,0,0,0,0,0,0,0,0
gold_Moo_Decomposition,ACCEPTED,333,105.71%,100.00%,0.020,1.5546875,,0,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872
gold_Election_Queries,WRONG_ANSWER,0,0.00%,13.33%,0.100,18.046875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_OohMoo_Milk,RUNTIME_ERROR,176,54.49%,50.00%,0.640,2.84375,,0,19.6078431372549,19.6078431372549,19.6078431372549,0,19.6078431372549,19.6078431372549,19.6078431372549,0,19.6078431372549,0,0,0,0,0,0,0,0,0,0,19.6078431372549,19.6078431372549
silver_Sequence_Construction,WRONG_ANSWER,0,0.00%,0.00%,0.020,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs,ACCEPTED,333,100.91%,100.00%,1.090,82.01171875,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
silver_Ski_Slope,ACCEPTED,333,104.06%,100.00%,0.100,15.921875,,0,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,0,0,0,20.833333333333332,0,0,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332
bronze_Hoof_Paper_Scissors_Minus_One,ACCEPTED,333,100.91%,100.00%,0.040,2.32421875,,0,30.3030303030303,30.3030303030303,30.3030303030303,0,0,0,0,0,0,0,0,30.3030303030303,0,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_More_Cow_Photos,ACCEPTED,333,100.91%,100.00%,0.070,1.7578125,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
bronze_Its_Mooin_Time_III,ACCEPTED,333,100.91%,100.00%,0.070,21.8046875,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
platinum_DFS_Order,ACCEPTED,333,104.06%,100.00%,0.090,13.99609375,,0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
platinum_Shock_Wave,WRONG_ANSWER,0,0.00%,0.00%,0.040,2.015625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Watering_the_Plants,WRONG_ANSWER,0,0.00%,10.53%,0.100,9.03515625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Median_Heap,ACCEPTED,333,100.91%,100.00%,0.190,21.14453125,,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,0,0,0,0,22.22222222222222,0,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222
gold_Reachable_Pairs,WRONG_ANSWER,50,15.62%,26.09%,0.110,17.2578125,,0,0,0,0,0,0,0,16.666666666666664,0,0,0,0,0,0,0,0,16.666666666666664,16.666666666666664,0,0,0,0
gold_Photo_Op,RUNTIME_ERROR,0,0.00%,0.00%,0.070,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Cow_Checkups,ACCEPTED,333,104.06%,100.00%,0.180,47.9609375,,0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
silver_Farmer_Johns_Favorite_Operation,ACCEPTED,333,100.91%,100.00%,0.080,7.48828125,,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,0,0,0,0,22.22222222222222,0,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222
silver_Table_Recovery,ACCEPTED,333,102.78%,100.00%,0.220,25.25390625,,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,0,0,0,0,0,0,0,27.777777777777775,0,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775
bronze_Astral_Superposition,ACCEPTED,333,100.91%,100.00%,0.120,3.4921875,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
bronze_Its_Mooin_Time_II,ACCEPTED,333,100.91%,100.00%,0.070,22.95703125,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
bronze_Cow_Checkups,ACCEPTED,333,100.91%,100.00%,0.110,1.55859375,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
platinum_Min_Max_Subarrays,TIME_LIMIT_EXCEEDED,0,0.00%,15.38%,3.680,5.68359375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Transforming_Pairs,WRONG_ANSWER,37,11.42%,15.79%,0.100,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,18.51851851851852,0,0,0,0,18.51851851851852,0,0,0,0
