problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.070,3.62109375,,15,20,35,0,0
baltazar,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.000,0.00390625,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.110,3.6171875,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,25,22.73%,44.68%,0.680,90.7890625,,0,25,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.170,12.90234375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.010,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,100.00%,0.110,1.8515625,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.040,2.07421875,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.130,1.55859375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.010,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,1.090,34.48046875,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.090,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.010,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,ACCEPTED,110,100.00%,100.00%,0.560,11.8671875,,26,12,35,37,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.020,7.484375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.060,2.84375,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,20.45%,0.130,12.8984375,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.340,42.21484375,,15,55,40,0,0
neboderi,RUNTIME_ERROR,78,70.91%,85.19%,1.350,94.3671875,,11,22,27,18,0
TOTAL,,1683,,78.01%,,,72.00%,,,,,
