solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
lexgcd_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_1.cpp,RUNTIME_ERROR,0,0.00%,0.83%,0.020,2.015625,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,0.83%,0.190,29.765625,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,0.83%,0.020,2.015625,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,0.83%,0.020,2.015625,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_5.cpp,RUNTIME_ERROR,0,0.00%,0.83%,0.030,2.015625,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
lexgcd_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,7.38%,0.030,2.07421875,0,0,0,0,0,0,0
