solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2025-ho-t5_Post_Office_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.030,2.83984375,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.420,2.953125,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,2.38%,0.110,57.08984375,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,3.7265625,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,2.8359375,0,0,0,0,0,0,0
2025-ho-t5_Post_Office_gpt-oss-120b_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.410,2.953125,0,0,0,0,0,0,0
