solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_19,subtask_2,subtask_20,subtask_21,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
gold_Moo_Decomposition_gpt-oss-120b_0.cpp,ACCEPTED,333,105.71%,100.00%,0.020,2.36328125,0,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872
gold_Moo_Decomposition_gpt-oss-120b_1.cpp,ACCEPTED,333,105.71%,100.00%,0.030,2.36328125,0,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872
gold_Moo_Decomposition_gpt-oss-120b_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Moo_Decomposition_gpt-oss-120b_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Moo_Decomposition_gpt-oss-120b_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Moo_Decomposition_gpt-oss-120b_3.cpp,ACCEPTED,333,105.71%,100.00%,0.020,2.3671875,0,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872
gold_Moo_Decomposition_gpt-oss-120b_4.cpp,ACCEPTED,333,105.71%,100.00%,0.020,2.359375,0,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872,15.873015873015872
gold_Moo_Decomposition_gpt-oss-120b_5.cpp,RUNTIME_ERROR,95,30.16%,24.00%,0.020,2.359375,0,15.873015873015872,0,0,0,0,0,0,0,0,0,0,15.873015873015872,0,0,15.873015873015872,0,0,0,15.873015873015872,15.873015873015872,15.873015873015872
gold_Moo_Decomposition_gpt-oss-120b_6.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.420,306.17578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Moo_Decomposition_gpt-oss-120b_7.cpp,RUNTIME_ERROR,95,30.16%,24.00%,0.040,25.3046875,0,15.873015873015872,0,0,0,0,0,0,0,0,0,0,15.873015873015872,0,0,15.873015873015872,0,0,0,15.873015873015872,15.873015873015872,15.873015873015872
