competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1971,510,630,128,349,2597,265,366
APIO-2023,0,0,5,0,1,18,0,0
APIO-2024,2,0,0,1,11,8,0,2
BOI-2023,4,0,15,0,1,25,0,3
BOI-2024,14,0,1,0,1,30,0,2
BOI-2025,0,0,12,0,1,31,0,4
CCO-2023,37,0,5,0,1,73,0,12
CCO-2024,49,0,3,1,7,46,0,22
CEOI-2023,0,0,12,1,12,21,0,2
CEOI-2024,0,0,1,2,2,42,0,1
COCI-2023,107,0,13,3,5,58,8,6
COCI-2024,91,4,13,1,2,83,0,6
COCI-2025,92,4,14,1,2,70,16,1
EGOI-2023,16,0,7,0,0,32,8,1
EGOI-2024,8,0,0,0,0,43,8,5
EJOI-2023,1,0,15,0,2,24,0,6
EJOI-2024,22,0,8,0,0,18,0,0
IATI-2024,14,3,9,0,0,43,8,11
IOI-2023,0,0,1,1,3,40,0,3
IOI-2024,0,0,8,2,0,37,0,1
JOI-2023,16,0,12,2,20,90,5,15
JOI-2024,6,0,26,1,36,63,9,19
JOI-2025,8,0,5,0,5,19,0,3
NOINordic-2023,16,0,2,1,0,4,0,1
NOINordic-2024,7,0,1,0,0,15,0,1
NOINordic-2025,7,0,6,0,1,10,0,0
OOI-2023,32,0,10,10,0,67,9,8
OOI-2024,25,0,9,2,0,70,22,8
RMI-2023,8,0,1,3,7,27,0,2
RMI-2024,2,0,10,0,4,30,1,1
USACO-2023,182,104,25,13,11,46,0,3
USACO-2024,121,85,51,14,20,70,0,23
USACO-2025,102,61,30,8,19,56,0,12
