problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,gpt-oss-120b_sp4,ACCEPTED,100,100.00%,100.00%,0.460,49.08984375
2024-sp_Ski_2,gpt-oss-120b_sp4,RUNTIME_ERROR,0,0.00%,0.85%,0.170,0.00390625
2024-sp_Spy_3,gpt-oss-120b_sp4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,gpt-oss-120b_sp4,RUNTIME_ERROR,17,17.00%,36.04%,0.180,6.1875
2024-sp_Tricolor_Lights,gpt-oss-120b_sp4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,gpt-oss-120b_sp4,TIME_LIMIT_EXCEEDED,0,0.00%,27.62%,5.880,61.015625
2024-sp_Card_Collection,gpt-oss-120b_sp4,RUNTIME_ERROR,0,0.00%,16.67%,0.150,0
2024-sp_JOI_Tour,gpt-oss-120b_sp4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,gpt-oss-120b_sp4,RUNTIME_ERROR,0,0.00%,0.00%,0.180,3.1015625
2024-sp_Escape_Route_2,gpt-oss-120b_sp4,TIME_LIMIT_EXCEEDED,54,54.00%,75.13%,2.400,55.53515625
2024-sp_Island_Hopping,gpt-oss-120b_sp4,RUNTIME_ERROR,2,2.00%,4.31%,0.170,3.4921875
2024-sp_Table_Tennis,gpt-oss-120b_sp4,ACCEPTED,100,100.00%,100.00%,0.200,13.41796875
