competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,7391,483,1031,174,788,2431,388,8750
APIO-2023,0,0,1,0,1,13,2,7
APIO-2024,5,0,0,0,5,2,0,12
BOI-2023,0,0,0,0,0,0,0,0
BOI-2024,16,0,1,0,6,8,0,17
BOI-2025,0,0,7,0,0,16,0,25
CCO-2023,52,0,0,0,3,19,0,54
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,4,0,7,4,2,31
CEOI-2024,5,0,1,2,0,21,0,19
COCI-2023,121,0,3,2,7,30,6,31
COCI-2024,112,1,2,0,5,18,0,62
COCI-2025,110,3,0,1,2,18,15,51
EGOI-2023,17,0,5,0,1,17,2,22
EGOI-2024,7,0,0,0,0,13,1,43
EJOI-2023,7,0,2,0,2,8,0,29
EJOI-2024,17,0,9,0,3,3,0,16
IATI-2024,22,4,6,1,0,21,8,26
IOI-2023,0,0,0,0,10,12,0,26
IOI-2024,0,0,2,0,6,16,0,24
JOI-2023,17,0,17,3,10,19,8,86
JOI-2024,14,0,18,2,17,15,8,86
JOI-2025,14,0,0,0,0,4,0,22
NOINordic-2023,16,0,0,0,0,3,2,3
NOINordic-2024,8,0,0,0,0,8,0,8
NOINordic-2025,7,0,7,1,3,5,0,1
OOI-2023,34,0,10,5,0,21,0,66
OOI-2024,41,0,4,2,0,14,7,68
RMI-2023,14,1,1,3,0,11,0,18
RMI-2024,0,0,12,0,0,3,0,33
USACO-2023,198,37,16,2,10,6,0,115
USACO-2024,146,28,17,2,11,7,0,173
USACO-2025,122,5,8,1,4,4,0,144
