competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-20b-medium,35696,46.43%,0.44,25.27,33.70%
APIO-2023,gpt-oss-20b-medium,15,15.33%,0.42,19.71,0.00%
APIO-2024,gpt-oss-20b-medium,105,39.29%,0.17,10.57,33.33%
BOI-2023,gpt-oss-20b-medium,119,45.50%,0.40,3.14,16.67%
BOI-2024,gpt-oss-20b-medium,332,59.38%,0.36,41.56,50.00%
BOI-2025,gpt-oss-20b-medium,83,23.18%,0.61,14.23,0.00%
CCO-2023,gpt-oss-20b-medium,124,53.30%,0.16,10.28,37.50%
CCO-2024,gpt-oss-20b-medium,157,57.54%,0.15,21.91,56.25%
CEOI-2023,gpt-oss-20b-medium,10,2.09%,0.09,7.62,0.00%
CEOI-2024,gpt-oss-20b-medium,60,43.27%,0.21,44.39,0.00%
COCI-2023,gpt-oss-20b-medium,1801,84.69%,0.18,22.23,76.00%
COCI-2024,gpt-oss-20b-medium,1310,67.90%,0.29,16.07,66.67%
COCI-2025,gpt-oss-20b-medium,1400,70.64%,0.24,30.70,68.00%
EGOI-2023,gpt-oss-20b-medium,200,25.71%,0.04,3.19,25.00%
EGOI-2024,gpt-oss-20b-medium,436,63.85%,0.69,8.42,50.00%
EJOI-2023,gpt-oss-20b-medium,160,31.90%,0.39,24.81,20.00%
EJOI-2024,gpt-oss-20b-medium,319,57.69%,0.27,36.44,50.00%
IATI-2024,gpt-oss-20b-medium,424,42.73%,0.48,11.68,27.27%
IOI-2023,gpt-oss-20b-medium,27,15.36%,0.38,10.11,0.00%
IOI-2024,gpt-oss-20b-medium,87,31.47%,1.39,8.23,0.00%
JOI-2023,gpt-oss-20b-medium,457,41.92%,0.58,11.01,22.22%
JOI-2024,gpt-oss-20b-medium,311,28.49%,0.41,17.71,10.00%
JOI-2025,gpt-oss-20b-medium,200,50.52%,0.24,20.14,50.00%
NOINordic-2023,gpt-oss-20b-medium,222,87.94%,1.77,236.68,66.67%
NOINordic-2024,gpt-oss-20b-medium,105,36.25%,0.23,5.56,33.33%
NOINordic-2025,gpt-oss-20b-medium,100,33.33%,0.13,4.64,33.33%
OOI-2023,gpt-oss-20b-medium,925,57.77%,0.33,35.86,47.06%
OOI-2024,gpt-oss-20b-medium,910,58.94%,0.62,30.27,47.06%
RMI-2023,gpt-oss-20b-medium,175,46.02%,0.72,18.49,16.67%
RMI-2024,gpt-oss-20b-medium,128,34.46%,0.84,24.76,20.00%
USACO-2023,gpt-oss-20b-medium,10169,66.00%,0.58,15.29,56.25%
USACO-2024,gpt-oss-20b-medium,8689,58.45%,0.41,30.46,47.83%
USACO-2025,gpt-oss-20b-medium,6136,54.76%,0.41,12.63,51.43%
