problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,5,5.00%,22.81%,0.860,14.25,,5,0,0,0,0,0,0,0,0,0
game,TIME_LIMIT_EXCEEDED,26,26.00%,53.33%,1.810,9.04296875,,8,18,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,29,29.00%,45.04%,1.800,22.26953125,,6,19,0,4,0,0,0,0,0,0
ones,WRONG_ANSWER,57,57.00%,0.00%,0.140,2.09375,,5.59411,5.7303999999999995,5.92359,5.9136500000000005,5.885439999999999,5.89276,5.79136,5.6599,5.42554,5.30936
travel,RUNTIME_ERROR,35,35.00%,44.05%,0.350,182.53515625,,10,10,0,0,15,0,0,0,0,0
aquarelle,ACCEPTED,100,100.00%,100.00%,0.230,47.16796875,,0,11,18,24,36,11,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.100,34.53515625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.090,8.0,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,40.00%,35.88%,0.010,2.8046875,,40,0,0,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,100.00%,0.240,15.22265625,,0,10,7,29,27,7,14,6,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.9609375,,0,0,0,0,0,0,0,0,0,0
TOTAL,,592,,54.65%,,,36.36%,,,,,,,,,,
