problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
More_Gifts,ACCEPTED,100,100.00%,100.00%,0.180,29.91015625,,0.0,14.0,0,0,0,12.0,16.0,21.0,18.0,19.0,0,0,0
Big_Persimmon,MEMORY_LIMIT_EXCEEDED,56,56.00%,76.00%,2.070,1224.359375,,0.0,10.0,0,0,0,12.0,19.0,15.0,0,0,0,0,0
Evidence_Board,ACCEPTED,100,100.00%,100.00%,0.320,97.5703125,,0.0,10.0,0,0,0,15.0,8.0,9.0,7.0,7.0,17.0,16.0,11.0
Burenka_and_Pether,RUNTIME_ERROR,13,13.00%,7.54%,0.300,62.65625,,0,0,0,0,0,0,0,0,0,0,0,13.0,0
Almost_Certainly,TIME_LIMIT_EXCEEDED,53,53.00%,84.12%,1.210,6.4921875,,0.0,16.0,0,0,0,13.0,24.0,0,0,0,0,0,0
Three_Arrays,ACCEPTED,100,100.00%,100.00%,0.030,5.9375,,0.0,13.0,0,0,0,18.0,14.0,16.0,19.0,20.0,0,0,0
Parallel_Universes,RUNTIME_ERROR,38,38.00%,35.97%,0.230,62.65234375,,0,0,0,0,0,7.0,0,11.0,0,0,12.0,0,8.0
Paired_roads,RUNTIME_ERROR,30,30.00%,52.38%,2.620,47.95703125,,0,13.0,0,0,0,17.0,0,0,0,0,0,0,0
Legs_warm-up_exercise,TIME_LIMIT_EXCEEDED,18,18.00%,52.37%,7.250,24.28125,,0.0,10.0,0,0,0,8.0,0,0,0,0,0,0,0
Hard_problem,ACCEPTED,100,100.00%,100.00%,0.080,5.16796875,,0.0,13.0,0,0,0,10.0,14.0,19.0,9.0,1.0,9.0,25.0,0
Yet_another_queries,TIME_LIMIT_EXCEEDED,67,67.00%,79.87%,1.800,57.24609375,,0.0,19.0,0,0,0,17.0,0,0,12.0,9.0,10.0,0,0
Lunch,TIME_LIMIT_EXCEEDED,82,82.00%,92.76%,2.410,1.96484375,,0.0,16.0,0,0,0,13.0,15.0,17.0,21.0,0,0,0,0
Tournament,MEMORY_LIMIT_EXCEEDED,80,80.00%,97.15%,0.010,0.00390625,,0.0,14.0,0,0,0,8.0,0,12.0,9.0,10.0,9.0,8.0,10.0
You_need_to_train_more,ACCEPTED,100,100.00%,100.00%,0.030,6.57421875,,0.0,18.0,0,0,0,19.0,16.0,21.0,26.0,0,0,0,0
Colorful_graph,ACCEPTED,100,100.00%,100.00%,0.040,2.58984375,,0.0,10.0,0,0,0,9.0,15.0,16.0,14.0,13.0,12.0,11.0,0
Space_accident,ACCEPTED,100,100.00%,100.00%,0.020,2.07421875,,0.0,15.0,0,0,0,16.0,10.0,15.0,24.0,20.0,0,0,0
TOTAL,,1137,,79.89%,,,43.75%,,,,,,,,,,,,,
