Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Rounds Completed,Rounds,Avg Human Percentile,Competition Rank
gpt-oss-120b-high,6,32,403.0,403.0,71.13,72.93,65.62,5,0,0,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",95.8,1
gpt-5,6,32,404.0,404.0,71.75,73.64,68.75,4,1,0,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",90.19,2
grok-4-fast-reasoning,6,32,345.0,345.0,63.46,66.66,56.25,4,0,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",82.09,3
gpt-oss-120b-low,6,32,311.0,311.0,58.37,62.11,56.25,4,0,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.07,4
gpt-oss-120b-medium,6,32,343.0,343.0,61.88,64.69,59.37,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.24,5
gemini-2.5-pro,6,32,326.0,326.0,60.58,65.4,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",78.43,6
gpt-o3-mini-high,6,32,320.0,320.0,59.33,62.23,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",80.38,7
gpt-oss-120b_sp3,6,32,315.0,315.0,57.04,59.08,53.12,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.92,8
gpt-oss-20b-high,6,32,315.0,315.0,58.54,71.99,62.5,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",77.78,9
gpt-oss-120b_sp4,6,32,313.0,313.0,56.62,59.89,50.0,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",79.67,10
gpt-oss-120b_sp2,6,32,311.0,311.0,58.04,61.77,56.25,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",77.78,11
gemini-2.5-flash,6,32,292.0,292.0,54.08,58.28,50.0,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",75.47,12
claude-sonnet-4.5,6,32,266.0,266.0,50.0,57.83,46.88,3,1,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",74.3,13
gpt-oss-120b_sp1,6,32,302.0,302.0,56.0,59.65,53.12,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",71.82,14
deepseek-reasoner,6,32,297.0,297.0,55.12,58.22,53.12,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",71.37,15
Qwen3-32B,6,32,280.0,280.0,52.5,56.01,46.88,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",71.39,16
OpenCodeReasoning-Nemotron-32B-IOI,6,32,263.0,263.0,50.13,53.51,46.88,3,0,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",70.94,17
gpt-oss-20b-medium,6,32,281.0,281.0,52.04,55.42,46.88,2,2,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",73.71,18
gpt-oss-20b-low,6,32,281.0,281.0,52.04,56.59,50.62,2,2,1,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",73.71,19
seed-oss_-1,6,32,276.0,276.0,51.0,55.55,46.88,2,1,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",67.28,20
Qwen3-14B,6,32,251.0,251.0,47.12,51.76,40.63,2,1,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",68.19,21
Qwen3-8B,6,32,253.0,253.0,47.79,50.58,40.63,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",65.96,22
seed-oss_8192,6,32,250.0,250.0,46.25,52.46,43.75,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",65.55,23
Qwen3-30B,6,32,243.0,243.0,46.38,51.37,40.63,1,2,2,5,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",64.45,24
deepseek-chat,6,32,218.0,218.0,43.17,49.98,42.97,2,1,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",64.31,25
gpt-4.1,6,32,246.0,246.0,47.42,50.5,43.75,2,0,2,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",65.5,26
OlympicCoder-7B,6,32,204.0,204.0,40.0,44.47,34.38,1,2,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",61.15,27
Qwen3-4B,6,32,197.0,197.0,39.38,47.68,31.25,1,2,1,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",61.27,28
DeepSeek-R1-Distill-Llama-70B,6,32,207.0,207.0,40.54,43.32,37.5,1,1,2,4,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",59.77,29
Mistral-Large-Instruct-2411,6,32,175.0,175.0,35.54,38.91,28.12,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",52.44,30
Qwen2.5-Coder-14B-Instruct,6,32,172.0,172.0,35.42,40.35,29.69,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",54.37,31
Qwen3-32B-Non-Thinking,6,32,172.0,172.0,35.42,39.51,28.12,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",54.37,32
Qwen2.5-72B,6,32,170.0,170.0,34.92,40.72,29.69,1,1,1,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",53.95,33
Llama-4-Scout,6,32,158.0,158.0,32.92,35.75,28.12,1,0,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",51.78,34
QwQ-32B,6,32,157.0,157.0,30.13,32.55,25.0,1,0,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",37.08,35
Mistral-Small-3.1-24B-2503,6,32,150.0,150.0,31.17,33.26,28.12,1,0,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",48.0,36
Codestral-22B-v0.1,6,32,156.0,156.0,32.34,35.02,28.12,0,1,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",50.68,37
Qwen3-4B-Non-Thinking,6,32,149.0,149.0,31.04,33.76,28.12,0,1,2,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",48.65,38
Llama-3.3-70B-Instruct,6,32,145.0,145.0,29.71,34.08,25.0,0,0,3,3,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",44.85,39
DeepSeek-R1-Distill-Qwen-32B,6,32,145.0,145.0,29.04,33.04,21.88,1,1,0,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",36.14,40
Qwen2.5-Coder-32B-Instruct,6,32,126.0,126.0,26.0,28.38,21.88,1,1,0,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",34.51,41
Qwen3-30B-Non-Thinking,6,32,152.0,152.0,31.17,37.91,26.56,1,0,1,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",46.05,42
DeepSeek-R1-Distill-Qwen-14B,6,32,128.0,128.0,26.67,29.07,25.0,1,0,1,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",36.12,43
seed-oss_16384,6,32,158.0,158.0,26.17,50.83,43.75,0,1,1,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",28.17,44
Qwen3-8B-Non-Thinking,6,32,145.0,145.0,29.04,31.96,21.88,0,1,1,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",40.97,45
Llama-3.1-8B-Instruct,6,32,123.0,123.0,25.54,27.62,21.88,0,1,1,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",38.24,46
seed-oss_512,6,32,134.0,134.0,25.08,42.45,36.72,0,0,2,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",35.85,47
DeepSeek-R1-Distill-Llama-8B,6,32,117.0,117.0,24.38,23.9,21.88,0,0,2,2,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",31.52,48
Qwen2.5-Coder-7B-Instruct,6,32,130.0,130.0,26.58,29.9,18.75,0,1,0,1,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",36.2,49
seed-oss_4096,6,32,91.0,91.0,16.04,44.47,37.5,0,1,0,1,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",21.26,50
DeepSeek-Coder-V2-Lite-Instruct,6,32,121.0,121.0,24.71,28.71,18.75,0,0,1,1,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",34.87,51
seed-oss_1024,6,32,85.0,85.0,16.79,45.0,37.5,0,0,1,1,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",24.86,52
seed-oss_0,6,32,74.0,74.0,15.33,42.11,37.5,0,0,1,1,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",22.25,53
Qwen3-14B-Non-Thinking,5,27,47.0,47.0,11.61,17.7,9.26,0,0,1,1,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",23.7,54
seed-oss_2048,6,32,88.0,88.0,15.5,38.77,34.38,0,0,0,0,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",15.16,55
DeepSeek-R1-Distill-Qwen-7B,5,26,30.0,30.0,7.69,19.23,19.23,0,0,0,0,3,"Canadian_Computing_Competition_Junior, Canadian_Computing_Competition_Senior, Canadian_Computing_Olympiad",8.69,56
