Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Rank
grok-4-fast-reasoning,2,13,959.0,959.0,73.77,79.34307692307692,69.23307692307694,2,0,0,2,95.85924713584288,1
gpt-5,2,13,900.0,900.0,69.23230769230769,54.807692307692314,54.807692307692314,1,1,0,2,88.03191489361703,2
gpt-oss-120b-high,2,13,736.0,736.0,56.61846153846154,47.74153846153846,43.269230769230774,1,1,0,2,82.64729950900164,3
gpt-oss-120b_sp4,2,13,711.0,711.0,54.69384615384615,44.51076923076923,43.269230769230774,0,2,0,2,80.85242771412985,4
gpt-oss-120b_sp2,2,13,625.0,625.0,48.08,42.96923076923077,37.5,0,1,1,2,69.57037643207856,5
gemini-2.5-pro,2,13,600.0,600.0,46.153076923076924,43.833076923076916,30.76923076923077,0,1,1,2,61.95171849427169,6
gpt-o3-mini-high,2,13,572.0,572.0,43.99769230769231,40.393076923076926,30.76923076923077,0,0,2,2,58.3619749045281,7
gpt-oss-120b_sp3,2,13,662.0,562.0,43.23384615384615,48.65076923076923,37.5,0,1,0,1,61.62165848336061,8
gpt-oss-120b-medium,2,13,548.0,548.0,42.153076923076924,38.35153846153846,30.76923076923077,0,1,0,1,54.847244953627936,9
gpt-oss-20b-high,2,13,500.0,500.0,38.46153846153846,38.65384615384615,38.65384615384615,0,1,0,1,55.46781232951446,10
Qwen3-30B,2,13,387.0,387.0,29.76923076923077,36.65538461538462,20.192307692307693,0,1,0,1,42.220403709765414,11
gpt-oss-20b-medium,2,13,636.0,536.0,41.230000000000004,43.313076923076935,36.53846153846153,0,0,1,1,53.30878341516639,12
gpt-oss-120b_sp1,2,13,537.0,537.0,41.308461538461536,38.43923076923076,30.76923076923077,0,0,1,1,54.07801418439716,13
claude-sonnet-4.5,2,13,480.0,480.0,36.92230769230769,47.37615384615385,23.077692307692306,0,0,1,1,46.5671031096563,14
seed-oss_-1,2,13,461.0,461.0,35.45923076923077,35.61153846153846,25.0,0,0,1,1,46.05428259683579,15
gemini-2.5-flash,2,13,427.0,427.0,32.84230769230769,34.38384615384616,19.230769230769234,0,0,1,1,42.4645390070922,16
OpenCodeReasoning-Nemotron-32B-IOI,2,13,361.0,361.0,27.765384615384615,30.566923076923075,19.230769230769234,0,0,1,1,34.259410801963995,17
Qwen3-32B,2,13,315.0,315.0,24.23153846153846,36.41076923076923,13.461538461538462,0,0,1,1,30.669667212220403,18
gpt-oss-20b-low,2,13,472.0,372.0,28.616153846153846,33.46923076923077,25.0,0,0,0,0,35.10365521003819,19
deepseek-reasoner,2,13,371.0,371.0,28.537692307692307,30.463846153846152,19.230769230769234,0,0,0,0,35.10365521003819,20
seed-oss_8192,2,13,324.0,324.0,24.923846153846153,26.49923076923077,19.230769230769234,0,0,0,0,29.206219312602293,21
gpt-oss-120b-low,2,13,295.0,295.0,22.69,29.218461538461536,13.461538461538462,0,0,0,0,26.898527004909983,22
Qwen3-14B,2,13,257.0,257.0,19.76846153846154,29.65076923076923,13.461538461538462,0,0,0,0,22.79596290234588,23
seed-oss_4096,2,13,256.0,256.0,19.69,20.615384615384613,13.461538461538462,0,0,0,0,22.79596290234588,24
seed-oss_16384,2,13,235.0,235.0,18.07846153846154,19.490769230769228,11.538461538461538,0,0,0,0,21.576650300054556,25
OlympicCoder-7B,2,13,226.0,226.0,17.38230769230769,21.07692307692308,13.461538461538462,0,0,0,0,21.5139116202946,26
