Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,54.0,5,54.0,74.49,60.0,Gold,10,99.73684210526316,1,72.0
gpt-o3-mini-high,48.0,5,48.0,65.86,60.0,Gold,14,99.61988304093568,2,64.0
Qwen3-32B,39.0,5,39.0,57.2,40.0,Gold,22,99.3859649122807,3,52.0
gemini-2.5-flash,38.0,5,38.0,52.36,40.0,Gold,23,99.35672514619883,4,50.67
deepseek-reasoner,36.0,5,36.0,53.85,40.0,Gold,25,99.29824561403508,5,48.0
deepseek-chat,35.0,5,35.0,48.54,40.0,Gold,26,99.26900584795321,6,46.67
Qwen3-8B,32.0,5,32.0,45.69,20.0,Silver,29,99.18128654970761,7,42.67
Qwen3-14B,30.0,5,30.0,48.17,20.0,Silver,31,99.12280701754386,8,40.0
Qwen3-30B,30.0,5,30.0,49.28,20.0,Silver,31,99.12280701754386,9,40.0
QwQ-32B,27.0,5,27.0,37.45,20.0,Silver,34,99.03508771929825,10,36.0
Qwen3-4B,27.0,5,27.0,43.87,20.0,Silver,34,99.03508771929825,11,36.0
DeepSeek-R1-Distill-Qwen-32B,23.0,5,23.0,38.41,20.0,Silver,38,98.91812865497076,12,30.67
DeepSeek-R1-Distill-Llama-70B,23.0,5,23.0,34.05,20.0,Silver,38,98.91812865497076,13,30.67
gpt-4.1,20.0,5,20.0,30.49,20.0,Bronze,41,98.83040935672514,14,26.67
Qwen2.5-Coder-32B-Instruct,14.0,5,14.0,22.65,0.0,None,47,98.65497076023392,15,18.67
Qwen2.5-72B,14.0,5,14.0,22.67,0.0,None,47,98.65497076023392,16,18.67
Qwen2.5-Coder-14B-Instruct,14.0,5,14.0,22.36,0.0,None,47,98.65497076023392,17,18.67
Qwen3-32B-Non-Thinking,14.0,5,14.0,23.37,0.0,None,47,98.65497076023392,18,18.67
Mistral-Large-Instruct-2411,11.0,5,11.0,18.54,0.0,None,50,98.5672514619883,19,14.67
Qwen3-14B-Non-Thinking,11.0,5,11.0,18.24,0.0,None,50,98.5672514619883,20,14.67
Qwen2.5-Coder-7B-Instruct,11.0,5,11.0,17.74,0.0,None,50,98.5672514619883,21,14.67
Codestral-22B-v0.1,11.0,5,11.0,18.04,0.0,None,50,98.5672514619883,22,14.67
Qwen3-30B-Non-Thinking,11.0,5,11.0,18.6,0.0,None,50,98.5672514619883,23,14.67
Qwen3-8B-Non-Thinking,11.0,5,11.0,19.14,0.0,None,50,98.5672514619883,24,14.67
DeepSeek-Coder-V2-Lite-Instruct,11.0,5,11.0,18.04,0.0,None,50,98.5672514619883,25,14.67
DeepSeek-R1-Distill-Qwen-14B,8.0,5,8.0,13.12,0.0,None,53,98.47953216374269,26,10.67
Llama-3.3-70B-Instruct,8.0,5,8.0,16.04,0.0,None,53,98.47953216374269,27,10.67
Mistral-Small-3.1-24B-2503,8.0,5,8.0,13.17,0.0,None,53,98.47953216374269,28,10.67
Qwen3-4B-Non-Thinking,8.0,5,8.0,14.85,0.0,None,53,98.47953216374269,29,10.67
Llama-3.1-8B-Instruct,8.0,5,8.0,14.54,0.0,None,53,98.47953216374269,30,10.67
DeepSeek-R1-Distill-Qwen-7B,0.0,5,0.0,0.0,0.0,None,61,98.24561403508773,31,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,5,0.0,0.48,0.0,None,61,98.24561403508773,32,0.0
