Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,180.0,5,180.0,42.38,16.67,Bronze,16,68.75,1,36.0
gemini-2.5-flash,45.0,5,45.0,23.86,0.0,None,36,27.083333333333332,2,9.0
gpt-o3-mini-high,30.0,5,30.0,10.19,0.0,None,39,20.833333333333332,3,6.0
Qwen3-32B-Non-Thinking,10.0,5,10.0,1.68,0.0,None,45,8.333333333333334,4,2.0
QwQ-32B,10.0,5,10.0,2.77,0.0,None,45,8.333333333333334,5,2.0
Qwen3-32B,10.0,5,10.0,6.53,0.0,None,45,8.333333333333334,6,2.0
deepseek-reasoner,10.0,5,10.0,5.97,0.0,None,45,8.333333333333334,7,2.0
gpt-4.1,10.0,5,10.0,7.09,0.0,None,45,8.333333333333334,8,2.0
deepseek-chat,10.0,5,10.0,9.35,0.0,None,45,8.333333333333334,9,2.0
DeepSeek-R1-Distill-Qwen-32B,0.0,5,0.0,0.44,0.0,None,49,0.0,10,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,5,0.0,1.56,0.0,None,49,0.0,11,0.0
Mistral-Large-Instruct-2411,0.0,5,0.0,0.69,0.0,None,49,0.0,12,0.0
DeepSeek-R1-Distill-Qwen-14B,0.0,5,0.0,0.67,0.0,None,49,0.0,13,0.0
Qwen3-4B-Non-Thinking,0.0,5,0.0,0.57,0.0,None,49,0.0,14,0.0
Qwen2.5-Coder-7B-Instruct,0.0,5,0.0,0.79,0.0,None,49,0.0,15,0.0
DeepSeek-R1-Distill-Llama-70B,0.0,5,0.0,0.91,0.0,None,49,0.0,16,0.0
Codestral-22B-v0.1,0.0,5,0.0,0.44,0.0,None,49,0.0,17,0.0
Qwen3-14B,0.0,5,0.0,0.98,0.0,None,49,0.0,18,0.0
Qwen3-30B,0.0,5,0.0,2.73,0.0,None,49,0.0,19,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,5,0.0,0.27,0.0,None,49,0.0,20,0.0
Qwen2.5-Coder-32B-Instruct,0.0,5,0.0,0.69,0.0,None,49,0.0,21,0.0
Qwen3-8B,0.0,5,0.0,1.53,0.0,None,49,0.0,22,0.0
Mistral-Small-3.1-24B-2503,0.0,5,0.0,0.44,0.0,None,49,0.0,23,0.0
Qwen2.5-72B,0.0,5,0.0,0.79,0.0,None,49,0.0,24,0.0
Qwen3-4B,0.0,5,0.0,0.57,0.0,None,49,0.0,25,0.0
Qwen3-14B-Non-Thinking,0.0,5,0.0,0.44,0.0,None,49,0.0,26,0.0
Qwen2.5-Coder-14B-Instruct,0.0,5,0.0,0.22,0.0,None,49,0.0,27,0.0
Llama-3.3-70B-Instruct,0.0,5,0.0,0.57,0.0,None,49,0.0,28,0.0
Qwen3-8B-Non-Thinking,0.0,5,0.0,0.22,0.0,None,49,0.0,29,0.0
Llama-3.1-8B-Instruct,0.0,5,0.0,0.22,0.0,None,49,0.0,30,0.0
DeepSeek-R1-Distill-Qwen-7B,0.0,5,0.0,0.0,0.0,None,49,0.0,31,0.0
Qwen3-30B-Non-Thinking,0.0,5,0.0,4.33,0.0,None,49,0.0,32,0.0
