Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,360.0,4,360.0,80.0,80.0,Gold,1,100.0,1,90.0
gpt-o3-mini-high,184.0,4,184.0,50.99,40.0,Gold,6,97.22222222222223,2,46.0
Qwen3-32B,184.0,4,184.0,48.4,40.0,Gold,6,97.22222222222223,3,46.0
gemini-2.5-flash,164.0,4,164.0,52.71,40.0,Silver,31,83.33333333333333,4,41.0
Qwen3-8B,147.0,4,147.0,42.58,40.0,Silver,31,83.33333333333333,5,36.75
Qwen3-14B,147.0,4,147.0,42.58,40.0,Silver,31,83.33333333333333,6,36.75
gpt-4.1,147.0,4,147.0,42.72,40.0,Silver,31,83.33333333333333,7,36.75
QwQ-32B,147.0,4,147.0,42.58,40.0,Silver,31,83.33333333333333,8,36.75
deepseek-reasoner,147.0,4,147.0,42.72,40.0,Silver,31,83.33333333333333,9,36.75
Qwen3-30B,147.0,4,147.0,42.72,40.0,Silver,31,83.33333333333333,10,36.75
Llama-3.3-70B-Instruct,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,11,30.0
Qwen2.5-Coder-14B-Instruct,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,12,30.0
DeepSeek-R1-Distill-Llama-70B,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,13,30.0
Qwen3-32B-Non-Thinking,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,14,30.0
Qwen2.5-72B,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,15,30.0
DeepSeek-R1-Distill-Qwen-32B,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,16,30.0
Qwen3-4B,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,17,30.0
deepseek-chat,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,18,30.0
Qwen2.5-Coder-32B-Instruct,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,19,30.0
DeepSeek-R1-Distill-Qwen-14B,120.0,4,120.0,40.14,40.0,Silver,44,76.11111111111111,20,30.0
Qwen3-30B-Non-Thinking,102.0,4,102.0,32.79,20.0,None,116,36.111111111111114,21,25.5
Qwen3-8B-Non-Thinking,102.0,4,102.0,32.65,20.0,None,116,36.111111111111114,22,25.5
Mistral-Small-3.1-24B-2503,72.0,4,72.0,29.59,0.0,None,123,32.22222222222222,23,18.0
Qwen3-14B-Non-Thinking,70.0,4,70.0,20.0,20.0,None,123,32.22222222222222,24,17.5
Codestral-22B-v0.1,50.0,4,50.0,21.6,20.0,None,138,23.88888888888889,25,12.5
Qwen2.5-Coder-7B-Instruct,50.0,4,50.0,21.6,20.0,None,138,23.88888888888889,26,12.5
Mistral-Large-Instruct-2411,50.0,4,50.0,32.94,20.0,None,138,23.88888888888889,27,12.5
DeepSeek-Coder-V2-Lite-Instruct,32.0,4,32.0,13.99,0.0,None,165,8.88888888888889,28,8.0
Qwen3-4B-Non-Thinking,13.0,4,13.0,11.48,0.0,None,167,7.777777777777778,29,3.25
Llama-3.1-8B-Instruct,13.0,4,13.0,7.44,0.0,None,167,7.777777777777778,30,3.25
DeepSeek-R1-Distill-Llama-8B,0.0,4,0.0,0.0,0.0,None,173,4.444444444444445,31,0.0
