Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-5,662.0,8,662.0,76.76,66.67,Gold,56,95.29512403763901,1,82.75
seed-oss_16384,658.0,8,658.0,78.17,66.67,Gold,59,95.03849443969204,2,82.25
gpt-oss-120b-high,580.0,8,580.0,69.21,55.56,Silver,173,85.28656971770744,3,72.5
gpt-oss-120b-medium,557.0,8,557.0,67.74,55.56,Silver,232,80.23952095808383,4,69.62
gemini-2.5-pro,557.0,8,557.0,68.26,55.56,Silver,232,80.23952095808383,5,69.62
gpt-oss-120b_sp1,551.0,8,551.0,64.51,55.56,Silver,248,78.87082976903336,6,68.88
gpt-oss-120b_sp2,533.0,8,533.0,65.29,55.56,Silver,290,75.27801539777587,7,66.62
gpt-oss-20b-high,521.0,8,521.0,66.1,55.56,Bronze,321,72.6261762189906,8,65.12
gpt-oss-120b_sp3,519.0,8,519.0,61.51,55.56,Bronze,330,71.8562874251497,9,64.88
gpt-o3-mini-high,497.0,8,497.0,65.01,44.44,Bronze,391,66.63815226689478,10,62.12
seed-oss_-1,479.0,8,479.0,66.53,33.33,Bronze,419,64.24294268605645,11,59.88
seed-oss_8192,471.0,8,471.0,67.99,33.33,Bronze,426,63.64414029084688,12,58.88
gemini-2.5-flash,466.0,8,466.0,67.15,33.33,Bronze,430,63.30196749358426,13,58.25
Qwen3-32B,460.0,8,460.0,69.16,22.22,Bronze,433,63.045337895637296,14,57.5
grok-4-fast-reasoning,455.0,8,455.0,76.6,42.86,Bronze,437,62.703165098374676,15,56.88
gpt-oss-20b-medium,446.0,8,446.0,54.82,44.44,Bronze,447,61.84773310521813,16,55.75
Qwen3-30B,397.0,8,397.0,67.57,22.22,Bronze,501,57.2284003421728,17,49.62
gpt-oss-120b-low,383.0,8,383.0,50.55,33.33,Bronze,507,56.715141146278874,18,47.88
Qwen3-14B,379.0,8,379.0,62.9,22.22,Bronze,508,56.629597946963216,19,47.38
gpt-oss-120b_sp4,369.0,8,369.0,50.01,33.33,Bronze,517,55.859709153122324,20,46.12
deepseek-reasoner,351.0,8,351.0,53.59,22.22,Bronze,523,55.3464499572284,21,43.88
claude-sonnet-4.5,348.0,8,348.0,65.12,25.0,Bronze,523,55.3464499572284,22,43.5
Qwen3-8B,325.0,8,325.0,56.97,22.22,Bronze,533,54.49101796407186,23,40.62
DeepSeek-R1-Distill-Qwen-32B,314.0,8,314.0,53.81,11.11,Bronze,542,53.72112917023097,24,39.25
QwQ-32B,313.0,8,313.0,54.62,22.22,Bronze,542,53.72112917023097,25,39.12
gpt-oss-20b-low,303.0,8,303.0,41.54,22.22,Bronze,547,53.293413173652695,26,37.88
seed-oss_4096,293.0,8,293.0,41.78,25.0,Bronze,559,52.26689478186484,27,36.62
OpenCodeReasoning-Nemotron-32B-IOI,253.0,8,253.0,42.65,22.22,Bronze,579,50.556030795551756,28,31.62
deepseek-chat,253.0,8,253.0,55.39,11.11,Bronze,579,50.556030795551756,29,31.62
Qwen3-4B,246.0,8,246.0,48.9,11.11,Bronze,584,50.128314798973484,30,30.75
DeepSeek-R1-Distill-Qwen-14B,240.0,8,240.0,33.22,22.22,None,588,49.786142001710864,31,30.0
DeepSeek-R1-Distill-Llama-70B,225.0,8,225.0,45.25,11.11,None,594,49.272882805816934,32,28.12
Qwen2.5-Coder-32B-Instruct,220.0,8,220.0,38.67,11.11,None,594,49.272882805816934,33,27.5
gpt-4.1,200.0,8,200.0,40.8,11.11,None,641,45.25235243798118,34,25.0
