Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gemini-2.5-flash,317.0,3,0,3,0.0,31.73173173173173,Bronze,317.0,1,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
deepseek-reasoner,267.0,3,0,3,0.0,26.726726726726728,Bronze,267.0,2,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-8B,217.0,3,0,2,0.0,21.72172172172172,None,217.0,3,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
gpt-o3-mini-high,200.0,3,0,2,0.0,20.02002002002002,None,200.0,4,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-14B,184.0,3,0,2,0.0,18.41841841841842,None,184.0,5,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
gemini-2.5-pro,167.0,3,0,3,0.0,16.716716716716718,None,167.0,6,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-32B,134.0,3,0,3,0.0,13.413413413413414,None,134.0,7,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
QwQ-32B,100.0,3,0,3,0.0,10.01001001001001,None,100.0,8,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-30B,100.0,3,0,3,0.0,10.01001001001001,None,100.0,9,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,83.0,3,0,2,0.0,8.308308308308309,None,83.0,10,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-4B,50.0,3,0,2,0.0,5.005005005005005,None,50.0,11,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
DeepSeek-R1-Distill-Qwen-14B,50.0,3,0,2,0.0,5.005005005005005,None,50.0,12,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
gpt-4.1,50.0,3,0,2,0.0,5.005005005005005,None,50.0,13,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-30B-Non-Thinking,34.0,3,0,2,0.0,3.4034034034034035,None,34.0,14,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,34.0,3,0,2,0.0,3.4034034034034035,None,34.0,15,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
deepseek-chat,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,16,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Mistral-Large-Instruct-2411,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,17,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen2.5-Coder-7B-Instruct,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,18,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-14B-Non-Thinking,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,19,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Llama-3.3-70B-Instruct,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,20,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-32B-Non-Thinking,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,21,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen2.5-Coder-32B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,22,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,23,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen2.5-Coder-14B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,24,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen2.5-72B,0.0,3,0,0,0.0,0.0,None,0.0,25,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Qwen3-4B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,26,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Mistral-Small-3.1-24B-2503,0.0,3,0,0,0.0,0.0,None,0.0,27,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
DeepSeek-Coder-V2-Lite-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,28,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
DeepSeek-R1-Distill-Qwen-7B,0.0,3,0,0,0.0,0.0,None,0.0,29,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
DeepSeek-R1-Distill-Llama-8B,0.0,3,0,0,0.0,0.0,None,0.0,30,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Codestral-22B-v0.1,0.0,3,0,0,0.0,0.0,None,0.0,31,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
Llama-3.1-8B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,32,USACO,2024,platinum,USACO-2024-US_Open_Contest-platinum
