Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile,Avg Human Percentile (Competition)
1,gpt-5,14,74,3637.0,3637.0,51.66270270270271,65.68554054054053,38.5131081081081,4,6,0,10,10,74.9527694515643,73.68093238822543
2,gpt-oss-120b-high,14,74,3247.0,3247.0,47.08135135135135,59.73513513513513,35.586351351351354,4,4,2,10,10,68.0619340701937,69.46312882356902
3,grok-4-fast-reasoning,14,74,3024.0,3024.0,42.48648648648648,60.55783783783784,22.974189189189193,3,3,4,10,10,66.48153997173468,63.78509606930102
4,gpt-oss-120b_sp1,14,74,2480.0,2480.0,34.851351351351354,44.236486486486484,24.776486486486483,2,2,6,10,10,54.26908102859403,51.67533806089235
5,gemini-2.5-pro,14,74,2670.0,2670.0,37.13513513513513,56.006081081081085,15.766756756756752,1,3,6,10,10,59.743442972318746,55.844015422904945
6,gpt-oss-120b-medium,14,74,2455.0,2455.0,35.608243243243244,47.075135135135135,26.12675675675676,1,3,5,9,10,54.49425190937783,53.88580891305414
7,gpt-o3-mini-high,14,74,2338.0,2338.0,33.135000000000005,45.93905405405406,18.468378378378382,1,3,5,9,10,54.1386155450708,53.06524196416259
8,gpt-oss-20b-high,14,74,2386.0,2386.0,33.45932432432432,52.242567567567555,29.82567567567568,1,2,6,9,10,50.589246355583285,47.1830004513418
9,gpt-oss-120b_sp2,14,74,2506.0,2506.0,35.12243243243243,47.23986486486487,25.00013513513514,0,4,5,9,10,55.56048156114374,54.046778361184025
10,gpt-oss-120b_sp4,14,74,2330.0,2330.0,33.63337837837838,44.69783783783783,23.424054054054054,1,2,5,8,10,51.97016177020274,50.16197458808038
11,seed-oss_16384,13,68,1913.0,1913.0,29.500588235294117,41.82397058823529,16.91235294117647,1,1,6,8,9,49.05558423558103,45.73815869386981
12,gpt-oss-120b_sp3,14,74,2173.0,2173.0,31.513108108108106,45.16527027027027,22.072972972972973,0,4,4,8,10,50.47728068172101,47.86447455233776
13,gpt-oss-20b-medium,14,74,1929.0,1929.0,27.202567567567566,39.68662162162161,20.360810810810808,0,3,5,8,10,43.70828602516254,41.594318421880345
14,claude-sonnet-4.5,14,74,1814.0,1814.0,25.566081081081084,49.73148648648648,6.7572972972972964,0,2,6,8,10,41.08587827208202,36.69475994230007
15,seed-oss_-1,14,74,2060.0,2060.0,28.97175675675676,46.88162162162162,16.217027027027026,0,3,4,7,10,44.96484735621271,41.96152722303652
16,gemini-2.5-flash,14,74,2032.0,2032.0,28.594864864864864,46.454729729729735,12.163243243243244,0,3,4,7,10,44.95441787037766,43.475360006038876
17,gpt-oss-120b-low,14,74,1720.0,1720.0,24.29662162162162,37.891756756756756,15.766216216216215,0,2,5,7,10,39.30455640662894,38.32246128502279
18,seed-oss_8192,13,68,1386.0,1386.0,21.618823529411763,32.74705882352941,13.235882352941175,0,1,4,5,9,33.86391476280482,30.85944109365366
19,Qwen3-32B,13,68,1306.0,1306.0,20.794117647058822,36.84426470588236,8.824264705882353,1,0,3,4,9,33.78799756325418,31.364391316923008
20,gpt-oss-20b-low,14,74,1184.0,1184.0,17.13662162162162,29.835405405405407,12.4327027027027,0,1,3,4,10,25.37541666363698,25.73427550736766
21,Qwen3-30B,13,68,1141.0,1141.0,17.925882352941176,32.15176470588236,11.519852941176469,0,1,3,4,9,29.85579279231033,27.52659972137581
22,deepseek-reasoner,14,74,1440.0,1440.0,20.715405405405406,36.48054054054054,9.45972972972973,1,0,2,3,10,30.682322410131924,30.224018974647436
