Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile
1,gpt-5,14,73,5094.0,5081.0,69.6035616438356,73.9895890410959,66.74630136986302,7,5,2,14,5,88.90830087230691
2,gemini-2.5-pro,14,73,4587.0,4574.0,62.65821917808219,72.99876712328766,55.27424657534247,6,6,2,14,5,84.7328994988999
3,gpt-oss-120b-high,14,73,4354.0,4341.0,59.46630136986301,65.09972602739727,57.568493150684944,7,3,3,13,5,81.11133557389596
4,gpt-o3-mini-high,14,73,4048.0,4035.0,55.27479452054794,65.80109589041095,50.513698630136986,6,3,4,13,5,82.43626910052573
5,gpt-oss-120b-medium,14,73,3890.0,3890.0,53.28780821917808,60.31123287671233,49.31479452054794,5,4,3,12,5,78.24617765536034
6,seed-oss_-1,14,73,3445.0,3432.0,47.0127397260274,56.72794520547946,43.903835616438364,4,4,4,12,5,74.73213316601407
7,gemini-2.5-flash,14,73,3525.0,3512.0,48.10945205479452,60.45712328767123,40.51342465753425,2,6,4,12,5,75.89288400754165
8,gpt-oss-20b-high,14,73,3869.0,3856.0,52.821917808219176,65.13232876712328,59.07534246575342,5,4,2,11,5,78.00482886425223
9,gpt-oss-20b-medium,14,73,3724.0,3611.0,49.465616438356165,59.15821917808219,53.15068493150685,5,3,3,11,5,75.2026807568371
10,Qwen3-32B,13,68,2678.0,2678.0,39.3825,53.738676470588246,36.39705882352941,2,6,2,10,5,70.08999805077805
11,QwQ-32B,13,68,2440.0,2427.0,35.69132352941177,45.95102941176471,34.92647058823529,2,6,2,10,5,66.80476420263008
12,seed-oss_8192,14,73,2806.0,2793.0,38.260684931506844,47.51424657534247,37.94465753424658,2,5,3,10,5,66.22882546046687
13,gpt-oss-120b-low,14,73,2607.0,2594.0,35.53383561643836,46.439726027397256,34.17780821917808,1,5,4,10,5,63.54829770611283
14,deepseek-reasoner,14,73,2790.0,2777.0,38.04068493150685,49.154931506849316,33.93835616438356,0,8,2,10,5,67.02531790849845
15,gpt-4.1,14,73,2281.0,2268.0,31.068493150684933,45.808767123287666,26.232876712328768,0,6,3,9,5,57.1581042945162
16,Qwen3-30B,13,68,2311.0,2298.0,33.79382352941177,46.421470588235294,32.09588235294118,2,6,0,8,5,62.04158097605789
17,seed-oss_16384,14,73,2315.0,2302.0,31.534520547945206,40.33479452054794,28.08191780821918,2,4,2,8,5,55.18666188205743
18,Qwen3-14B,13,68,2147.0,2134.0,31.382205882352938,42.558235294117644,29.338235294117652,1,6,1,8,5,58.56738068027
19,gpt-oss-20b-low,14,73,2491.0,2391.0,32.75383561643835,41.65041095890411,32.396986301369864,1,5,2,8,5,56.36549092161267
20,Qwen3-8B,14,73,1936.0,1923.0,26.342328767123288,38.9041095890411,23.938904109589043,0,5,2,7,5,49.66967034169649
21,DeepSeek-R1-Distill-Qwen-32B,13,68,1761.0,1748.0,25.706911764705882,38.896764705882354,24.22823529411765,0,5,2,7,5,53.94175584169137
22,DeepSeek-R1-Distill-Llama-70B,14,73,1860.0,1847.0,25.30123287671233,37.231095890410955,23.767671232876715,0,4,3,7,5,46.696893748288744
23,deepseek-chat,13,68,1693.0,1680.0,24.704852941176473,38.326323529411766,22.573529411764707,0,3,4,7,5,48.3431691612957
24,seed-oss_4096,14,73,1525.0,1512.0,20.7113698630137,27.10876712328767,20.753972602739726,0,5,1,6,5,42.802134372838175
25,Qwen3-32B-Non-Thinking,14,73,1051.0,1051.0,14.397260273972602,21.69191780821918,11.781095890410958,0,2,4,6,5,34.14196556244253
26,seed-oss_2048,14,73,1369.0,1356.0,18.574794520547947,25.872876712328768,18.185479452054793,0,5,0,5,5,40.0147235421194
27,Qwen3-4B,14,73,1507.0,1494.0,20.465890410958902,30.89013698630137,18.45917808219178,0,4,1,5,5,39.56519802799478
28,Qwen2.5-Coder-32B-Instruct,13,68,931.0,931.0,13.691323529411765,24.41455882352941,8.235294117647058,0,1,4,5,5,33.6521432983625
29,DeepSeek-R1-Distill-Qwen-14B,13,68,1087.0,1074.0,15.793382352941178,24.226911764705882,11.176470588235293,0,2,2,4,5,33.87573739294581
30,Mistral-Large-Instruct-2411,14,73,710.0,710.0,9.725890410958904,22.144246575342464,6.575342465753424,0,0,3,3,5,23.52823519452209
31,seed-oss_1024,14,73,972.0,959.0,13.136849315068494,19.37150684931507,13.253972602739724,0,2,0,2,5,27.97013597198924
32,Llama-3.3-70B-Instruct,13,68,639.0,639.0,9.396911764705882,20.31544117647059,5.294117647058823,0,1,1,2,5,24.968979154115843
33,Qwen2.5-Coder-14B-Instruct,13,68,578.0,578.0,8.49985294117647,17.19794117647059,5.294117647058823,0,1,1,2,5,23.15736824804927
34,seed-oss_0,14,73,715.0,715.0,9.794931506849315,16.713150684931506,11.883561643835618,0,0,2,2,5,22.461106047568716
35,Qwen3-30B-Non-Thinking,14,73,702.0,702.0,9.616438356164384,20.371232876712327,5.205479452054794,0,0,2,2,5,22.422196016960815
36,Mistral-Small-3.1-24B-2503,13,68,447.0,434.0,6.3825,15.24470588235294,2.941176470588235,0,0,2,2,5,19.50172982873102
37,Llama-4-Scout,14,73,705.0,705.0,9.657671232876712,18.135068493150683,7.6712328767123275,0,1,0,1,5,25.310838200818214
38,Qwen2.5-72B,13,68,636.0,636.0,9.352500000000001,18.490882352941178,3.823529411764706,0,1,0,1,5,23.427846212417062
39,Qwen3-8B-Non-Thinking,14,73,459.0,446.0,6.109178082191781,16.176438356164383,3.8356164383561637,0,0,1,1,5,15.580788314982618
40,DeepSeek-Coder-V2-Lite-Instruct,13,68,430.0,417.0,6.132794117647059,13.491617647058824,1.4705882352941175,0,0,1,1,5,14.462727127347572
41,seed-oss_512,14,73,415.0,402.0,5.506575342465753,10.929315068493151,4.10958904109589,0,0,0,0,5,14.527798863851363
42,Qwen3-14B-Non-Thinking,14,73,388.0,388.0,5.314657534246575,10.226027397260275,3.664383561643835,0,0,0,0,5,13.041140262926683
43,Qwen3-4B-Non-Thinking,14,73,378.0,378.0,5.1778082191780825,12.90808219178082,2.73972602739726,0,0,0,0,5,14.682352759363706
44,Codestral-22B-v0.1,13,68,342.0,342.0,5.0295588235294115,11.65014705882353,3.9338235294117645,0,0,0,0,5,13.542584512320312
45,Llama-3.1-8B-Instruct,13,68,255.0,155.0,2.2795588235294115,8.661029411764707,2.5735294117647056,0,0,0,0,5,9.086974994697977
46,Qwen2.5-Coder-7B-Instruct,14,73,217.0,217.0,2.972876712328767,9.921506849315069,3.8356164383561637,0,0,0,0,5,11.384056597958235
47,DeepSeek-R1-Distill-Llama-8B,13,68,51.0,38.0,0.5585294117647059,2.0173529411764703,0.0,0,0,0,0,5,7.610071653962067
48,DeepSeek-R1-Distill-Qwen-7B,9,49,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,8.173195639860891
