Model,Total Score,Global Relative Score (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Avg Human Percentile,Competition Count,Contest Count,Total Tasks,Global Rank
gpt-5,51274.0,66.1,62.23,35,23,6,64,80.48,14,72,403,1
gpt-oss-120b-high,49217.0,62.39,59.67,35,20,8,63,72.17,14,72,403,2
grok-4-fast-reasoning,43450.0,56.99,50.95,33,15,12,60,74.23,14,72,403,3
gemini-2.5-pro,40119.0,51.11,44.47,20,18,18,56,69.41,14,72,403,4
gpt-oss-120b_sp1,39320.0,47.76,45.85,17,17,21,55,58.5,14,72,403,5
gpt-oss-120b_sp4,39642.0,48.04,45.68,18,17,18,53,59.49,14,72,403,6
gpt-oss-120b_sp2,39705.0,48.07,47.1,17,17,19,53,59.76,14,72,403,7
gpt-oss-20b-high,40724.0,49.2,52.59,16,20,17,53,55.99,14,72,403,8
gpt-oss-120b-medium,40039.0,48.88,47.33,20,18,14,52,58.1,14,72,403,9
gpt-o3-mini-high,39038.0,47.56,44.22,17,17,16,50,62.0,14,72,403,10
gpt-oss-120b_sp3,38642.0,46.75,45.69,16,22,12,50,57.73,14,72,403,11
gpt-oss-20b-medium,35074.0,42.08,42.82,13,17,19,49,52.4,14,72,403,12
seed-oss_-1,35707.0,42.58,39.75,11,18,19,48,51.69,14,72,403,13
claude-sonnet-4.5,30063.0,38.3,27.05,8,15,25,48,53.08,14,72,403,14
gemini-2.5-flash,33623.0,41.15,36.23,10,15,19,44,54.57,14,72,403,15
gpt-oss-120b-low,28675.0,35.57,34.19,10,12,18,40,45.27,14,72,403,16
Qwen3-32B,26321.0,33.43,28.38,7,11,19,37,39.18,14,70,392,17
seed-oss_8192,26687.0,33.79,31.36,5,16,15,36,42.8,13,68,380,18
deepseek-reasoner,27467.0,33.19,28.9,5,13,17,35,39.6,14,72,403,19
seed-oss_16384,23679.0,30.23,28.44,7,11,14,32,43.58,13,68,380,20
Qwen3-14B,21405.0,27.57,23.03,4,11,16,31,33.09,14,71,398,21
OpenCodeReasoning-Nemotron-32B-IOI,23437.0,27.15,25.46,4,9,18,31,30.98,14,71,400,22
gpt-oss-20b-low,22324.0,27.41,27.4,5,11,14,30,35.94,14,72,403,23
Qwen3-30B,20799.0,28.21,23.95,4,14,11,29,34.41,13,68,381,24
Qwen3-8B,18844.0,24.17,19.56,1,9,17,27,29.06,14,72,403,25
gpt-4.1,19551.0,25.78,19.66,4,10,11,25,34.5,14,72,403,26
QwQ-32B,20171.0,22.0,20.65,3,7,14,24,24.92,14,71,398,27
deepseek-chat,16448.0,21.37,17.06,2,7,13,22,29.08,14,71,398,28
DeepSeek-R1-Distill-Llama-70B,17437.0,21.28,18.22,1,6,15,22,29.29,14,72,403,29
Qwen3-4B,13988.0,17.31,14.18,1,5,13,19,22.25,14,72,403,30
seed-oss_4096,15642.0,17.7,19.7,0,6,13,19,26.17,13,68,380,31
OlympicCoder-7B,12397.0,17.16,14.92,2,6,9,17,26.45,14,72,403,32
DeepSeek-R1-Distill-Qwen-32B,15356.0,16.82,15.4,1,5,11,17,20.96,14,71,398,33
Qwen3-32B-Non-Thinking,8696.0,12.93,8.81,1,3,6,10,21.74,14,72,403,34
seed-oss_2048,10878.0,12.64,13.44,0,4,5,9,19.95,13,68,380,35
Qwen2.5-Coder-14B-Instruct,5650.0,9.73,5.53,1,2,5,8,16.7,14,71,398,36
DeepSeek-R1-Distill-Qwen-14B,9554.0,11.65,11.56,1,1,6,8,17.87,14,71,398,37
Mistral-Large-Instruct-2411,6283.0,10.12,5.9,1,1,6,8,16.49,14,72,403,38
Qwen2.5-Coder-32B-Instruct,6542.0,9.03,5.15,1,2,4,7,14.2,14,71,398,39
Qwen2.5-72B,5513.0,10.24,5.8,1,2,4,7,17.64,13,68,381,40
Mistral-Small-3.1-24B-2503,3795.0,7.87,4.95,1,0,6,7,16.49,14,71,398,41
Llama-4-Scout,6928.0,9.88,6.32,1,1,4,6,16.16,14,72,403,42
seed-oss_1024,8998.0,11.0,12.49,0,1,5,6,18.38,13,68,380,43
Llama-3.3-70B-Instruct,6530.0,10.35,5.9,0,1,5,6,19.71,13,68,381,44
Qwen3-30B-Non-Thinking,8585.0,10.62,7.24,1,0,4,5,14.58,14,72,403,45
seed-oss_512,7291.0,8.66,8.56,1,0,4,5,14.11,13,68,380,46
Qwen3-4B-Non-Thinking,3898.0,6.61,4.47,0,1,4,5,12.23,14,72,403,47
seed-oss_0,4869.0,7.39,8.31,0,0,4,4,12.94,13,68,380,48
Qwen3-8B-Non-Thinking,5405.0,7.98,4.17,0,1,2,3,14.02,14,72,403,49
Codestral-22B-v0.1,2946.0,6.67,4.12,0,1,2,3,12.37,14,71,398,50
Llama-3.1-8B-Instruct,1581.0,4.18,2.45,0,1,1,2,10.24,14,71,398,51
Qwen3-14B-Non-Thinking,6328.0,7.16,4.13,0,0,2,2,13.1,14,71,398,52
DeepSeek-Coder-V2-Lite-Instruct,2802.0,5.67,2.23,0,0,2,2,9.98,14,71,398,53
DeepSeek-R1-Distill-Llama-8B,1682.0,3.34,2.72,0,0,2,2,7.52,14,71,398,54
Qwen2.5-Coder-7B-Instruct,2742.0,4.93,3.0,0,1,0,1,7.72,13,69,394,55
claude-haiku-4.5,340.0,20.0,0.0,0,0,0,0,21.34,2,4,17,56
OlympicCoder-32B,159.0,8.83,0.0,0,0,0,0,10.04,2,3,18,57
DeepSeek-R1-Distill-Qwen-7B,48.0,0.75,1.83,0,0,0,0,5.24,14,49,273,58
