solution,status,score,relative_score,%test passed,time,memory,subtask_0
j1_seed-oss_0.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_seed-oss_0.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_seed-oss_0.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_seed-oss_2.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_seed-oss_3.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_seed-oss_4.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
j1_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
j1_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
j1_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0
