problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,WRONG_ANSWER,0,0.00%,93.88%,0.060,0.00390625,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.140,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.000,0,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.420,51.0546875,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.150,2.5859375,,17,21,32,0,0,0
tornjevi,MEMORY_LIMIT_EXCEEDED,64,71.11%,79.63%,0.800,484.1171875,,7,11,17,29,0,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.420,2.87109375,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.800,86.890625,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.070,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,6.1953125,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,64,53.33%,29.03%,0.210,26.01953125,,0,27,37,0,0,0
tura,TIME_LIMIT_EXCEEDED,0,0.00%,12.95%,0.620,6.71875,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.090,1.5,,6,13,23,28,0,0
razlicitost,ACCEPTED,90,100.00%,100.00%,1.060,486.76171875,,25,13,9,43,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.070,1.796875,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.060,1.8125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.090,3.62109375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.250,16.5078125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.070,0,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.470,106.13671875,,13,18,34,15,40,0
TOTAL,,1371,,71.66%,,,60.00%,,,,,,
