solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3
karte_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_1.cpp,ACCEPTED,70,100.00%,100.00%,0.150,0.00390625,18,11,24,17
karte_seed-oss_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0
karte_seed-oss_3.cpp,ACCEPTED,70,100.00%,100.00%,0.140,0.00390625,18,11,24,17
karte_seed-oss_4.cpp,ACCEPTED,70,100.00%,100.00%,0.160,0.00390625,18,11,24,17
karte_seed-oss_6.cpp,ACCEPTED,70,100.00%,100.00%,0.150,0.00390625,18,11,24,17
karte_seed-oss_7.cpp,ACCEPTED,70,100.00%,100.00%,0.140,0.00390625,18,11,24,17
