solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
walk_seed-oss_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_2.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.280,587.8203125,0,0,0,0,0,0,0,0
walk_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_6.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.270,596.33203125,0,0,0,0,0,0,0,0
walk_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
walk_seed-oss_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
