problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,seed-oss_-1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,seed-oss_-1,RUNTIME_ERROR,0,0.00%,24.00%,0.000,0
2023-sp_Passport,seed-oss_-1,RUNTIME_ERROR,6,6.00%,62.35%,0.180,32.0390625
2023-sp_Belt_Conveyor,seed-oss_-1,RUNTIME_ERROR,1,1.00%,16.13%,0.760,16.890625
2023-sp_Council,seed-oss_-1,TIME_LIMIT_EXCEEDED,41,41.00%,90.46%,3.600,21.40625
2023-sp_Mizuyokan_2,seed-oss_-1,RUNTIME_ERROR,0,0.00%,0.00%,0.160,3.046875
2023-sp_Chorus,seed-oss_-1,RUNTIME_ERROR,0,0.00%,42.06%,0.000,0
2023-sp_Cookies,seed-oss_-1,RUNTIME_ERROR,6,6.00%,62.61%,0.150,1.55078125
2023-sp_Tourism,seed-oss_-1,TIME_LIMIT_EXCEEDED,28,28.00%,81.22%,4.870,21.44921875
2023-sp_Super_Dango_Maker,seed-oss_-1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,seed-oss_-1,RUNTIME_ERROR,0,0.00%,8.72%,0.210,23.1796875
2023-sp_Bitaro’s_travel,seed-oss_-1,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.470,2.84375
