problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,13.16%,0.110,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.170,9.23828125,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.110,2.7890625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.370,1.55859375,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,10,10.00%,27.03%,0.190,0.00390625,,0.0,0,0,0,0,0,0,10.0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,4.00%,47.45%,4.820,9.03125,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,79,79.00%,65.56%,0.290,57.53125,,0.0,23.0,0,0,0,10.0,16.0,19.0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.734375,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,43,43.00%,85.18%,8.430,24.90625,,0.0,10.0,0,0,0,8.0,11.0,14.0,0,0,0,0,0
Road_Lighting,RUNTIME_ERROR,13,13.00%,22.68%,0.170,39.3671875,,0.0,0,0,0,0,13.0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.460,74.25390625,,0.0,10.0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,MEMORY_LIMIT_EXCEEDED,55,55.00%,92.02%,0.990,1228.24609375,,0.0,8.0,0,0,0,7.0,9.0,0,8.0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.460,2.8203125,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,100.00%,0.510,56.3828125,,0.0,8.0,0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,RUNTIME_ERROR,68,68.00%,98.88%,0.140,7.9921875,,0.0,17.0,0,0,0,13.0,12.0,26.0,0,0,0,0,0
TOTAL,,876,,62.65%,,,35.29%,,,,,,,,,,,,,
