problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_19,subtask_2,subtask_20,subtask_21,subtask_22,subtask_23,subtask_24,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
platinum_Identity_Theft,RUNTIME_ERROR,50,15.62%,24.00%,0.190,42.23828125,,0,16.666666666666664,0,0,0,0,0,0,0,0,0,16.666666666666664,16.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Splitting_Haybales,TIME_LIMIT_EXCEEDED,17,5.31%,13.64%,2.420,3.62109375,,0,16.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Activating_Robots,RUNTIME_ERROR,200,62.50%,58.33%,0.140,0.00390625,,0,16.666666666666664,0,0,16.666666666666664,0,0,16.666666666666664,16.666666666666664,0,0,16.666666666666664,16.666666666666664,16.666666666666664,0,0,0,0,0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,0
gold_Cowreography,WRONG_ANSWER,100,31.25%,39.13%,0.130,3.80078125,,0,16.666666666666664,0,0,0,16.666666666666664,0,0,16.666666666666664,0,16.666666666666664,16.666666666666664,16.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0
gold_Grass_Segments,ACCEPTED,333,103.10%,100.00%,0.460,85.0,,0,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,0,0,19.6078431372549,0,0,0,0,0,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549,19.6078431372549
gold_Smaller_Averages,ACCEPTED,333,104.06%,100.00%,2.100,4.6328125,,0,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,0,0,0,20.833333333333332,0,0,0,0,0,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332,20.833333333333332
silver_Bessies_Interview,WRONG_ANSWER,33,10.31%,14.29%,0.200,6.49609375,,0,16.666666666666664,0,0,0,0,0,0,0,0,0,0,16.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0
silver_Painting_Fence_Posts,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_The_Winning_Gene,ACCEPTED,333,100.91%,100.00%,0.220,1.86328125,,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,0,0,0,0,22.22222222222222,0,0,0,0,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222
bronze_Logical_Moos,ACCEPTED,333,106.73%,100.00%,0.210,10.265625,,0,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888,13.888888888888888
bronze_Walking_Along_a_Fence,ACCEPTED,333,100.91%,100.00%,0.180,7.484375,,0,33.33333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,33.33333333333333,0,0,0,0,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
bronze_Farmer_Johns_Favorite_Permutation,WRONG_ANSWER,0,0.00%,9.09%,0.170,1.875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Island_Vacation,RUNTIME_ERROR,17,5.31%,8.70%,0.370,252.15234375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666666666666664,0,0,0,0,0
