competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,seed-oss_-1,36186,49.64%,0.78,92.65,29.77%
APIO-2023,seed-oss_-1,120,49.92%,1.61,98.78,0.00%
APIO-2024,seed-oss_-1,5,5.95%,0.07,7.70,0.00%
BOI-2023,seed-oss_-1,169,66.60%,0.42,8.96,16.67%
BOI-2024,seed-oss_-1,336,60.72%,0.86,53.34,50.00%
BOI-2025,seed-oss_-1,21,12.79%,0.66,20.79,0.00%
CCO-2023,seed-oss_-1,121,53.29%,0.14,12.90,37.50%
CCO-2024,seed-oss_-1,155,57.82%,0.75,20.37,56.25%
CEOI-2023,seed-oss_-1,20,14.24%,1.49,409.88,0.00%
CEOI-2024,seed-oss_-1,48,50.20%,0.90,530.74,0.00%
COCI-2023,seed-oss_-1,1652,76.24%,0.35,11.35,72.00%
COCI-2024,seed-oss_-1,1211,64.25%,0.43,16.31,56.00%
COCI-2025,seed-oss_-1,1371,71.66%,0.32,51.38,60.00%
EGOI-2023,seed-oss_-1,236,30.65%,0.51,4.52,25.00%
EGOI-2024,seed-oss_-1,225,41.40%,0.66,7.41,25.00%
EJOI-2023,seed-oss_-1,113,22.33%,0.50,419.13,0.00%
EJOI-2024,seed-oss_-1,311,55.56%,0.27,37.17,50.00%
IATI-2024,seed-oss_-1,421,39.37%,0.32,24.12,18.18%
IOI-2023,seed-oss_-1,125,29.37%,0.66,17.94,0.00%
IOI-2024,seed-oss_-1,122,47.30%,1.33,416.77,0.00%
JOI-2023,seed-oss_-1,300,42.37%,1.04,7.85,10.00%
JOI-2024,seed-oss_-1,409,41.61%,0.80,78.80,10.00%
JOI-2025,seed-oss_-1,246,59.58%,1.38,227.75,40.00%
NOINordic-2023,seed-oss_-1,217,83.78%,1.79,144.16,66.67%
NOINordic-2024,seed-oss_-1,109,53.00%,0.20,4.29,33.33%
NOINordic-2025,seed-oss_-1,200,67.03%,1.86,9.82,66.67%
OOI-2023,seed-oss_-1,817,55.73%,0.90,83.76,35.29%
OOI-2024,seed-oss_-1,876,62.65%,1.02,89.17,35.29%
RMI-2023,seed-oss_-1,161,40.95%,1.06,54.31,16.67%
RMI-2024,seed-oss_-1,194,48.16%,0.91,21.55,16.67%
USACO-2023,seed-oss_-1,10388,67.21%,0.86,19.83,58.33%
USACO-2024,seed-oss_-1,9182,60.59%,0.65,31.36,50.00%
USACO-2025,seed-oss_-1,6305,56.14%,0.35,22.51,47.22%
