problem,model,status,score,%test passed,time,memory
2023-sp_Two_Currencies,seed-oss_1024,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,seed-oss_1024,RUNTIME_ERROR,0,13.33%,0.000,0
2023-sp_Passport,seed-oss_1024,RUNTIME_ERROR,0,9.43%,0.050,0
2023-sp_Belt_Conveyor,seed-oss_1024,TIME_LIMIT_EXCEEDED,1,12.90%,0.060,10.34375
2023-sp_Council,seed-oss_1024,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Mizuyokan_2,seed-oss_1024,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Chorus,seed-oss_1024,RUNTIME_ERROR,0,6.67%,0.000,0
2023-sp_Cookies,seed-oss_1024,RUNTIME_ERROR,6,55.56%,0.050,0.00390625
2023-sp_Tourism,seed-oss_1024,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Super_Dango_Maker,seed-oss_1024,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Security_Guard,seed-oss_1024,RUNTIME_ERROR,0,5.95%,0.060,4.39453125
2023-sp_Bitaro’s_travel,seed-oss_1024,RUNTIME_ERROR,0,5.17%,0.050,0.00390625
