competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,seed-oss_1024,8540,18.26%,0.22,16.16,10.74%
APIO-2023,seed-oss_1024,20,12.97%,0.66,23.02,0.00%
APIO-2024,seed-oss_1024,0,0.60%,0.04,5.69,0.00%
BOI-2023,seed-oss_1024,0,3.87%,0.01,0.76,0.00%
BOI-2024,seed-oss_1024,0,1.85%,0.01,1.29,0.00%
BOI-2025,seed-oss_1024,0,1.54%,0.26,205.09,0.00%
CCO-2023,seed-oss_1024,15,100.00%,0.00,0.00,100.00%
CCO-2024,seed-oss_1024,15,100.00%,0.02,0.00,100.00%
CEOI-2023,seed-oss_1024,10,1.80%,0.02,0.51,0.00%
CEOI-2024,seed-oss_1024,16,27.10%,0.40,88.75,0.00%
COCI-2023,seed-oss_1024,325,23.58%,0.21,1.56,20.00%
COCI-2024,seed-oss_1024,0,0.00%,0.03,0.00,0.00%
COCI-2025,seed-oss_1024,409,25.92%,0.14,2.50,16.00%
EGOI-2023,seed-oss_1024,100,15.33%,0.03,3.32,12.50%
EGOI-2024,seed-oss_1024,14,7.45%,0.02,0.71,0.00%
EJOI-2023,seed-oss_1024,0,1.13%,0.22,22.90,0.00%
EJOI-2024,seed-oss_1024,111,22.97%,0.10,22.53,16.67%
IATI-2024,seed-oss_1024,165,15.12%,0.08,4.44,9.09%
IOI-2023,seed-oss_1024,5,5.51%,0.32,11.58,0.00%
IOI-2024,seed-oss_1024,20,18.06%,0.28,3.78,0.00%
JOI-2023,seed-oss_1024,17,9.13%,0.03,2.08,0.00%
JOI-2024,seed-oss_1024,10,4.23%,0.14,2.39,0.00%
JOI-2025,seed-oss_1024,0,0.23%,0.03,2.69,0.00%
NOINordic-2023,seed-oss_1024,36,44.22%,0.27,48.51,0.00%
NOINordic-2024,seed-oss_1024,0,12.90%,0.04,3.87,0.00%
NOINordic-2025,seed-oss_1024,24,12.83%,2.12,2.89,0.00%
OOI-2023,seed-oss_1024,314,22.46%,0.48,17.56,11.76%
OOI-2024,seed-oss_1024,275,22.72%,0.34,6.77,11.76%
RMI-2023,seed-oss_1024,0,3.17%,0.00,0.00,0.00%
RMI-2024,seed-oss_1024,100,20.95%,0.06,7.52,16.67%
USACO-2023,seed-oss_1024,3329,22.24%,0.19,9.64,16.67%
USACO-2024,seed-oss_1024,2896,19.23%,0.26,11.99,12.50%
USACO-2025,seed-oss_1024,314,5.19%,0.11,2.76,0.00%
