problem,status,score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2024-open-t1_Examination_2,TIME_LIMIT_EXCEEDED,20,38.24%,2.420,22.9453125,,0,20,0,0,0,0,0,0
2024-open-t2_Heat_Stroke,RUNTIME_ERROR,6,36.57%,0.030,0.00390625,,6,0,0,0,0,0,0,0
2024-open-t3_Library_3,TIME_LIMIT_EXCEEDED,0,12.77%,0.020,1.55078125,,0,0,0,0,0,0,0,0
2024-sp_Fish_3,TIME_LIMIT_EXCEEDED,9,37.93%,2.410,94.1796875,,9,0,0,0,0,0,0,0
2024-sp_Ski_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Spy_3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Board_Game,RUNTIME_ERROR,3,8.07%,0.030,3.87109375,,3,0,0,0,0,0,0,0
2024-sp_Tricolor_Lights,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5,TIME_LIMIT_EXCEEDED,30,76.69%,5.970,47.1875,,4,5,21,0,0,0,0,0
2024-sp_Card_Collection,RUNTIME_ERROR,0,16.67%,0.030,0,,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour,TIME_LIMIT_EXCEEDED,52,55.41%,3.610,45.109375,,6,8,6,16,16,0,0,0
2024-sp_Tower,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Escape_Route_2,TIME_LIMIT_EXCEEDED,6,30.37%,2.410,9.8046875,,6,0,0,0,0,0,0,0
2024-sp_Island_Hopping,RUNTIME_ERROR,11,10.34%,0.030,1.55078125,,0,4,7,0,0,0,0,0
2024-sp_Table_Tennis,ACCEPTED,100,100.00%,0.070,13.41796875,,5,4,23,30,15,23,0,0
2024-ho-t1_Room_Temperature,ACCEPTED,100,100.00%,0.080,8.50390625,,15,5,30,35,15,0,0,0
2024-ho-t2_Construction_Project_2,ACCEPTED,100,100.00%,0.230,35.1484375,,8,16,29,47,0,0,0,0
2024-ho-t3_Marathon_Race_2,RUNTIME_ERROR,7,58.82%,0.000,0,,7,0,0,0,0,0,0,0
2024-ho-t4_Gift_Exchange,RUNTIME_ERROR,0,36.14%,0.030,3.10546875,,0,0,0,0,0,0,0,0
2024-ho-t5_Road_Service_2,TIME_LIMIT_EXCEEDED,16,60.83%,3.610,152.01171875,,10,6,0,0,0,0,0,0
TOTAL,,460,38.94%,,,15.00%,,,,,,,,
