problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,0,0.00%,0.040,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,RUNTIME_ERROR,0,8.04%,0.040,6.1953125,,0.0,0,0,0,0,0,0,0,0,0,0,0
Card_Flip,TIME_LIMIT_EXCEEDED,0,12.50%,1.220,12.90234375,,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,11,4.67%,0.070,6.59375,,0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,25,24.78%,0.040,1.546875,,0,0,0,0,0,12.0,13.0,0,0,0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,10,41.36%,8.410,10.640625,,0.0,10.0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,RUNTIME_ERROR,0,12.75%,0.040,0,,0.0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,RUNTIME_ERROR,0,54.89%,0.180,222.078125,,0.0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,RUNTIME_ERROR,30,50.94%,1.080,27.84765625,,0.0,16.0,0,0,14.0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,0,5.33%,0.040,0,,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,76,12.66%,,,0.00%,,,,,,,,,,,,
