problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,WRONG_ANSWER,0,93.88%,0.020,0.00390625,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.110,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,79.63%,2.420,9.03515625,,7,11,17,0,26,0
crtez,TIME_LIMIT_EXCEEDED,20,42.55%,2.420,4.1875,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,0.950,161.80859375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.030,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,6.1796875,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,TIME_LIMIT_EXCEEDED,39,51.61%,2.430,26.03125,,0,0,0,24,15,0
tura,TIME_LIMIT_EXCEEDED,0,12.95%,0.610,613.48828125,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,0.070,1.6015625,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,9,20.93%,2.410,21.38671875,,0,0,9,0,0,0
blistavost,RUNTIME_ERROR,100,90.16%,0.050,1.8125,,0,25,55,20,0,0
trokuti,MEMORY_LIMIT_EXCEEDED,13,25.96%,0.030,1.8125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.040,3.62109375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.240,20.37890625,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,80,95.16%,0.580,103.47265625,,13,18,34,15,0,0
TOTAL,,1012,60.81%,,,40.00%,,,,,,
