competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1554,720,1253,389,1206,4447,485,170
APIO-2023,0,0,5,1,4,14,0,0
APIO-2024,0,0,4,1,12,7,0,0
BOI-2023,1,0,4,0,4,37,0,2
BOI-2024,2,0,5,2,5,34,0,0
BOI-2025,1,0,14,4,3,24,2,0
CCO-2023,22,0,26,5,7,58,1,9
CCO-2024,46,0,7,4,10,45,0,16
CEOI-2023,0,0,2,1,11,33,1,0
CEOI-2024,0,0,5,4,14,25,0,0
COCI-2023,56,0,16,6,22,91,6,3
COCI-2024,88,5,14,2,21,68,0,2
COCI-2025,53,1,23,9,22,78,14,0
EGOI-2023,13,0,1,1,3,35,9,2
EGOI-2024,1,0,1,1,3,48,10,0
EJOI-2023,0,0,10,1,18,17,2,0
EJOI-2024,8,0,1,1,14,24,0,0
IATI-2024,9,7,10,4,7,45,5,1
IOI-2023,0,0,10,0,5,33,0,0
IOI-2024,0,0,8,0,8,32,0,0
JOI-2023,2,0,18,4,30,103,1,2
JOI-2024,2,0,13,5,31,106,2,1
JOI-2025,8,0,5,0,8,19,0,0
NOINordic-2023,12,0,1,0,0,9,2,0
NOINordic-2024,1,0,1,0,1,21,0,0
NOINordic-2025,1,0,7,1,3,11,0,1
OOI-2023,11,0,21,14,1,66,21,2
OOI-2024,12,0,20,4,0,69,30,1
RMI-2023,0,0,6,6,9,25,0,2
RMI-2024,2,0,3,0,9,30,4,0
USACO-2023,83,71,69,19,51,85,0,6
USACO-2024,64,81,66,21,42,105,0,5
USACO-2025,36,75,47,10,24,93,0,3
