problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.310,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.090,0.00390625,,5,5,2,3,0,0,0
s3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.160,11.92578125,,0,0,0,0,0,0,0
s5,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p1,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,1,5.13%,0.300,44.921875,,1,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.56%,0.130,5.125,,0,0,0,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.070,0.00390625,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,0,12.90%,0.050,2.08203125,,0,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.060,1.5546875,,1,4,5,5,0,0,0
TOTAL,,91,38.79%,,,37.50%,,,,,,,
