problem,status,score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2023-open-t1_Ancient_Machine_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-open-t3_Garden,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Two_Currencies,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,RUNTIME_ERROR,0,13.33%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Passport,RUNTIME_ERROR,0,22.41%,0.160,5.16796875,,0,0,0,0,0,0,0
2023-sp_Belt_Conveyor,TIME_LIMIT_EXCEEDED,0,3.23%,0.540,1120.17578125,,0,0,0,0,0,0,0
2023-sp_Council,TIME_LIMIT_EXCEEDED,8,55.93%,3.610,5.94140625,,8,0,0,0,0,0,0
2023-sp_Mizuyokan_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Chorus,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Cookies,RUNTIME_ERROR,0,8.89%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Tourism,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,0,5.95%,0.150,3.6171875,,0,0,0,0,0,0,0
2023-sp_Bitaro’s_travel,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t1_Stone_Arranging_2,RUNTIME_ERROR,0,32.10%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t2_Advertisement_2,RUNTIME_ERROR,0,4.26%,0.170,2.34765625,,0,0,0,0,0,0,0
2023-ho-t3_Maze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,RUNTIME_ERROR,0,17.91%,0.000,0,,0,0,0,0,0,0,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,45.36%,2.810,1.81640625,,3,0,0,0,0,0,0
TOTAL,,11,10.47%,,,0.00%,,,,,,,
