competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,DeepSeek-R1-Distill-Llama-70B,15921,29.66%,0.62,48.67,13.13%
APIO-2023,DeepSeek-R1-Distill-Llama-70B,97,28.07%,1.60,232.14,0.00%
APIO-2024,DeepSeek-R1-Distill-Llama-70B,50,22.62%,0.29,7.34,0.00%
BOI-2023,DeepSeek-R1-Distill-Llama-70B,19,22.97%,0.04,0.50,0.00%
BOI-2024,DeepSeek-R1-Distill-Llama-70B,32,24.96%,0.24,2.20,0.00%
BOI-2025,DeepSeek-R1-Distill-Llama-70B,0,3.31%,0.38,39.66,0.00%
CCO-2023,DeepSeek-R1-Distill-Llama-70B,77,35.44%,0.52,16.73,25.00%
CCO-2024,DeepSeek-R1-Distill-Llama-70B,130,51.21%,0.42,17.35,50.00%
CEOI-2023,DeepSeek-R1-Distill-Llama-70B,0,0.91%,0.11,0.50,0.00%
CEOI-2024,DeepSeek-R1-Distill-Llama-70B,6,23.23%,1.04,68.36,0.00%
COCI-2023,DeepSeek-R1-Distill-Llama-70B,718,38.35%,0.15,17.19,32.00%
COCI-2024,DeepSeek-R1-Distill-Llama-70B,842,45.68%,0.32,34.20,40.00%
COCI-2025,DeepSeek-R1-Distill-Llama-70B,534,32.07%,0.18,22.11,28.00%
EGOI-2023,DeepSeek-R1-Distill-Llama-70B,234,41.20%,0.54,5.84,25.00%
EGOI-2024,DeepSeek-R1-Distill-Llama-70B,54,25.35%,0.62,141.28,0.00%
EJOI-2023,DeepSeek-R1-Distill-Llama-70B,16,6.22%,0.58,10.09,0.00%
EJOI-2024,DeepSeek-R1-Distill-Llama-70B,123,31.38%,0.53,11.25,16.67%
IATI-2024,DeepSeek-R1-Distill-Llama-70B,193,22.88%,0.41,99.42,9.09%
IOI-2023,DeepSeek-R1-Distill-Llama-70B,13,10.41%,0.58,9.10,0.00%
IOI-2024,DeepSeek-R1-Distill-Llama-70B,62,31.53%,1.26,379.88,0.00%
JOI-2023,DeepSeek-R1-Distill-Llama-70B,178,24.81%,0.49,3.90,5.00%
JOI-2024,DeepSeek-R1-Distill-Llama-70B,120,14.45%,0.07,1.82,5.00%
JOI-2025,DeepSeek-R1-Distill-Llama-70B,128,40.59%,0.76,230.16,20.00%
NOINordic-2023,DeepSeek-R1-Distill-Llama-70B,179,72.93%,0.48,12.77,33.33%
NOINordic-2024,DeepSeek-R1-Distill-Llama-70B,43,45.61%,0.49,4.28,0.00%
NOINordic-2025,DeepSeek-R1-Distill-Llama-70B,100,36.95%,3.50,10.86,33.33%
OOI-2023,DeepSeek-R1-Distill-Llama-70B,486,42.52%,0.41,27.84,11.76%
OOI-2024,DeepSeek-R1-Distill-Llama-70B,640,53.37%,1.54,12.17,23.53%
RMI-2023,DeepSeek-R1-Distill-Llama-70B,0,0.00%,0.00,0.00,0.00%
RMI-2024,DeepSeek-R1-Distill-Llama-70B,179,40.25%,0.39,60.07,16.67%
USACO-2023,DeepSeek-R1-Distill-Llama-70B,6043,41.26%,0.97,33.55,27.08%
USACO-2024,DeepSeek-R1-Distill-Llama-70B,3336,24.31%,0.59,24.98,10.42%
USACO-2025,DeepSeek-R1-Distill-Llama-70B,1289,14.19%,0.35,19.77,8.33%
