problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,6,52.50%,0.000,0,,3,3,0,0,0,0,0,0
s2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.10%,0.060,0.00390625,,2,0,0,0,0,0,0,0
s4,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
s5,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
d1p1,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
d1p2,TIME_LIMIT_EXCEEDED,0,1.90%,5.530,9.01171875,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,3.85%,0.040,0,,0,0,0,0,0,0,0,0
d2p1,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,1.56%,0.610,18.48828125,,0,0,0,0,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,52.50%,0.000,0,,3,3,0,0,0,0,0,0
j5,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
TOTAL,,59,26.59%,,,18.75%,,,,,,,,
