problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
zid,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,79.63%,2.220,8.50390625,,7,11,17,0,26,0
crtez,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.090,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.130,5.6015625,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.070,2.32421875,,0,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
igre,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
blistavost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,25.00%,0.140,3.87109375,,13,0,0,0,0,0
osobna,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,ACCEPTED,70,100.00%,0.140,2.84765625,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.920,36.875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,20.97%,0.000,0,,0,0,0,0,0,0
TOTAL,,424,25.12%,,,20.00%,,,,,,
