competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,DeepSeek-R1-Distill-Qwen-14B,10184,17.57%,0.36,15.70,6.22%
APIO-2023,DeepSeek-R1-Distill-Qwen-14B,97,28.47%,0.64,35.36,0.00%
APIO-2024,DeepSeek-R1-Distill-Qwen-14B,5,5.95%,0.06,3.40,0.00%
BOI-2023,DeepSeek-R1-Distill-Qwen-14B,8,9.70%,0.03,0.41,0.00%
BOI-2024,DeepSeek-R1-Distill-Qwen-14B,22,20.08%,0.40,1.88,0.00%
BOI-2025,DeepSeek-R1-Distill-Qwen-14B,0,4.59%,0.87,30.82,0.00%
CCO-2023,DeepSeek-R1-Distill-Qwen-14B,59,26.59%,0.39,1.72,18.75%
CCO-2024,DeepSeek-R1-Distill-Qwen-14B,105,46.25%,0.34,10.88,43.75%
CEOI-2023,DeepSeek-R1-Distill-Qwen-14B,0,0.67%,0.07,0.00,0.00%
CEOI-2024,DeepSeek-R1-Distill-Qwen-14B,0,5.54%,0.12,11.76,0.00%
COCI-2023,DeepSeek-R1-Distill-Qwen-14B,305,18.43%,0.04,1.32,16.00%
COCI-2024,DeepSeek-R1-Distill-Qwen-14B,539,29.71%,0.40,13.39,20.00%
COCI-2025,DeepSeek-R1-Distill-Qwen-14B,424,25.12%,0.15,2.40,20.00%
EGOI-2023,DeepSeek-R1-Distill-Qwen-14B,166,26.22%,0.83,144.32,0.00%
EGOI-2024,DeepSeek-R1-Distill-Qwen-14B,14,13.48%,0.06,0.84,0.00%
EJOI-2023,DeepSeek-R1-Distill-Qwen-14B,16,5.91%,0.38,1.52,0.00%
EJOI-2024,DeepSeek-R1-Distill-Qwen-14B,35,9.99%,0.76,50.36,0.00%
IATI-2024,DeepSeek-R1-Distill-Qwen-14B,155,23.72%,0.11,4.86,0.00%
IOI-2023,DeepSeek-R1-Distill-Qwen-14B,5,4.72%,0.07,10.38,0.00%
IOI-2024,DeepSeek-R1-Distill-Qwen-14B,20,9.26%,0.65,8.01,0.00%
JOI-2023,DeepSeek-R1-Distill-Qwen-14B,115,15.14%,0.58,64.15,5.00%
JOI-2024,DeepSeek-R1-Distill-Qwen-14B,106,11.26%,0.29,1.18,5.00%
NOINordic-2023,DeepSeek-R1-Distill-Qwen-14B,91,55.85%,0.55,25.93,0.00%
NOINordic-2024,DeepSeek-R1-Distill-Qwen-14B,0,8.07%,0.42,3.28,0.00%
NOINordic-2025,DeepSeek-R1-Distill-Qwen-14B,67,15.55%,0.26,5.96,0.00%
OOI-2023,DeepSeek-R1-Distill-Qwen-14B,382,28.82%,0.28,2.95,17.65%
OOI-2024,DeepSeek-R1-Distill-Qwen-14B,444,31.88%,1.04,11.45,17.65%
RMI-2023,DeepSeek-R1-Distill-Qwen-14B,0,0.00%,0.00,0.00,0.00%
RMI-2024,DeepSeek-R1-Distill-Qwen-14B,0,8.71%,0.06,0.98,0.00%
USACO-2023,DeepSeek-R1-Distill-Qwen-14B,3118,22.19%,0.31,12.26,12.50%
USACO-2024,DeepSeek-R1-Distill-Qwen-14B,2758,20.05%,0.63,4.03,8.33%
USACO-2025,DeepSeek-R1-Distill-Qwen-14B,1128,12.77%,0.42,20.92,8.33%
