problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_19,subtask_2,subtask_20,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
platinum_Pareidolia,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Good_Bitstrings,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Triples_of_Cows,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Custodial_Cleanup,WRONG_ANSWER,0,5.56%,0.140,6.51953125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Pareidolia,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_Tree_Merging,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Field_Day,MEMORY_LIMIT_EXCEEDED,0,5.00%,0.230,279.9921875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Pareidolia,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_FEB,RUNTIME_ERROR,0,5.00%,0.110,1.70703125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Moo_Language,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Rotate_and_Shift,WRONG_ANSWER,0,0.00%,0.110,1.875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Tractor_Paths,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
