problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,RUNTIME_ERROR,3,35.00%,0.000,0,,3,0,0,0,0,0,0,0
s2,TIME_LIMIT_EXCEEDED,5,38.71%,1.120,0.00390625,,5,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,0,3.57%,0.040,5.16796875,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.94%,0.040,0.00390625,,0,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,0.00%,0.040,0.00390625,,0,0,0,0,0,0,0,0
d1p1,RUNTIME_ERROR,0,2.86%,0.100,5.16796875,,0,0,0,0,0,0,0,0
d1p2,TIME_LIMIT_EXCEEDED,0,1.90%,5.510,5.109375,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.100,8.0859375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,16.07%,0.040,1.609375,,0,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,3.12%,0.170,13.98046875,,0,0,0,0,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,RUNTIME_ERROR,6,52.50%,0.000,0,,3,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,2,38.89%,0.000,0,,2,0,0,0,0,0,0,0
TOTAL,,61,31.27%,,,18.75%,,,,,,,,
