problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.040,2.1328125,,0,0,0,0,0,0,0
ones,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.210,333.36328125,,10,10,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,11.24%,0.020,0,,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,0,3.10%,0.360,1.82421875,,0,0,0,0,0,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
twins,RUNTIME_ERROR,0,0.00%,0.010,0,,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
TOTAL,,20,4.65%,,,0.00%,,,,,,,
