problem,status,score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2024-open-t1_Examination_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-open-t2_Heat_Stroke,RUNTIME_ERROR,0,20.85%,0.000,0,,0,0,0,0,0,0,0,0
2024-open-t3_Library_3,RUNTIME_ERROR,0,12.77%,0.140,1.48046875,,0,0,0,0,0,0,0,0
2024-sp_Fish_3,RUNTIME_ERROR,0,5.41%,0.010,4.65234375,,0,0,0,0,0,0,0,0
2024-sp_Ski_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Spy_3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Board_Game,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Tricolor_Lights,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Card_Collection,RUNTIME_ERROR,0,3.10%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Tower,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Escape_Route_2,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.140,3.6171875,,0,0,0,0,0,0,0,0
2024-sp_Island_Hopping,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Table_Tennis,RUNTIME_ERROR,0,10.66%,0.140,13.41796875,,0,0,0,0,0,0,0,0
2024-ho-t1_Room_Temperature,RUNTIME_ERROR,0,3.92%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t2_Construction_Project_2,TIME_LIMIT_EXCEEDED,8,14.14%,2.450,49.25,,8,0,0,0,0,0,0,0
2024-ho-t3_Marathon_Race_2,RUNTIME_ERROR,0,15.56%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t4_Gift_Exchange,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t5_Road_Service_2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
TOTAL,,8,4.32%,,,0.00%,,,,,,,,
