competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,QwQ-32B,21970,32.03%,0.44,18.27,15.89%
APIO-2023,QwQ-32B,20,13.34%,0.13,19.46,0.00%
APIO-2024,QwQ-32B,0,0.00%,0.00,0.00,0.00%
BOI-2023,QwQ-32B,37,36.54%,0.13,2.17,0.00%
BOI-2024,QwQ-32B,47,28.86%,0.23,6.27,0.00%
BOI-2025,QwQ-32B,0,7.48%,0.18,21.67,0.00%
CCO-2023,QwQ-32B,109,44.49%,0.34,19.20,25.00%
CCO-2024,QwQ-32B,130,50.89%,0.45,21.68,50.00%
CEOI-2023,QwQ-32B,10,2.77%,0.03,0.50,0.00%
CEOI-2024,QwQ-32B,15,29.26%,0.74,27.21,0.00%
COCI-2023,QwQ-32B,1139,57.42%,0.43,21.08,44.00%
COCI-2024,QwQ-32B,1108,54.65%,0.18,11.14,52.00%
COCI-2025,QwQ-32B,930,54.34%,0.18,6.91,48.00%
EGOI-2023,QwQ-32B,284,37.35%,0.48,5.14,25.00%
EGOI-2024,QwQ-32B,49,24.00%,0.69,71.56,0.00%
EJOI-2023,QwQ-32B,118,23.96%,0.71,65.01,0.00%
EJOI-2024,QwQ-32B,111,25.67%,0.11,14.88,16.67%
IATI-2024,QwQ-32B,290,30.37%,0.28,7.70,18.18%
IOI-2023,QwQ-32B,59,14.69%,0.10,0.67,0.00%
IOI-2024,QwQ-32B,33,14.78%,0.88,10.12,0.00%
JOI-2023,QwQ-32B,194,31.12%,0.53,49.46,5.00%
JOI-2024,QwQ-32B,218,19.79%,0.42,6.40,10.00%
NOINordic-2023,QwQ-32B,191,86.15%,0.85,77.36,33.33%
NOINordic-2024,QwQ-32B,9,31.33%,0.46,4.18,0.00%
NOINordic-2025,QwQ-32B,122,49.58%,1.74,11.31,33.33%
OOI-2023,QwQ-32B,586,42.91%,0.17,7.83,23.53%
OOI-2024,QwQ-32B,705,53.03%,0.72,42.47,29.41%
RMI-2023,QwQ-32B,6,4.40%,0.62,1.51,0.00%
RMI-2024,QwQ-32B,2,9.43%,0.25,6.59,0.00%
USACO-2023,QwQ-32B,6852,46.89%,0.92,11.13,35.42%
USACO-2024,QwQ-32B,4979,34.29%,0.62,7.30,18.75%
USACO-2025,QwQ-32B,3617,33.10%,0.22,8.60,25.00%
