problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_19,subtask_2,subtask_20,subtask_21,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
More_Gifts,TIME_LIMIT_EXCEEDED,0,7.48%,1.110,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big_Persimmon,RUNTIME_ERROR,12,17.74%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0
Evidence_Board,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draw_Polygon_Lines,MEMORY_LIMIT_EXCEEDED,18,14.74%,0.290,562.31640625,,0,0,4.0,3.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,4.0,4.0
Burenka_and_Pether,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almost_Certainly,RUNTIME_ERROR,0,1.55%,0.120,5.7578125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three_Arrays,RUNTIME_ERROR,0,6.57%,0.000,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parallel_Universes,RUNTIME_ERROR,11,10.14%,0.090,1.859375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0
Paired_roads,RUNTIME_ERROR,0,5.04%,0.120,14.69921875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legs_warm-up_exercise,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard_problem,ACCEPTED,100,100.00%,0.170,2.84765625,,0.0,13.0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,14.0,19.0,9.0,1.0,9.0,25.0,0
Yet_another_queries,TIME_LIMIT_EXCEEDED,19,33.33%,1.680,57.24609375,,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunch,RUNTIME_ERROR,0,6.98%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tournament,MEMORY_LIMIT_EXCEEDED,80,97.15%,0.090,1.6796875,,0.0,14.0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,12.0,9.0,10.0,9.0,8.0,10.0
You_need_to_train_more,TIME_LIMIT_EXCEEDED,55,73.28%,1.180,8.7734375,,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,21.0,0,0,0,0,0
Colorful_graph,TIME_LIMIT_EXCEEDED,10,48.02%,1.680,9.3046875,,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space_accident,TIME_LIMIT_EXCEEDED,0,17.81%,1.200,0.00390625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,305,25.87%,,,5.88%,,,,,,,,,,,,,,,,,,,,,,
