problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,37.31%,1.120,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,4.35%,0.030,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,5.56%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,66.67%,1.110,2.5859375,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,79.63%,2.210,24.421875,,7,11,17,0,26,0
crtez,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.160,3.58984375,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.080,8.4765625,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.090,5.87890625,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.030,1.75,,0,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,12.24%,0.200,0.00390625,,6,0,0,0,0,0
razlicitost,MEMORY_LIMIT_EXCEEDED,22,37.21%,0.070,5.9375,,0,13,9,0,0,0
blistavost,RUNTIME_ERROR,75,65.57%,0.040,1.80078125,,0,0,55,20,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,RUNTIME_ERROR,20,47.92%,0.060,2.84765625,,20,0,0,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,22,41.67%,3.360,28.10546875,,7,0,0,15,0,0
uciteljica,RUNTIME_ERROR,0,3.28%,0.500,1.5546875,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,1.61%,0.030,0,,0,0,0,0,0,0
TOTAL,,425,28.80%,,,12.00%,,,,,,
