competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,5143,3045,6652,815,1526,12104,593,466
APIO-2023,0,0,4,0,0,12,0,8
APIO-2024,0,0,4,0,10,10,0,0
BOI-2023,0,0,5,1,3,39,0,0
BOI-2024,1,0,7,1,2,36,0,1
BOI-2025,0,0,17,0,2,27,1,1
CCO-2023,33,0,21,2,1,67,0,4
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,7,0,10,30,0,1
CEOI-2024,0,0,4,2,10,31,0,1
COCI-2023,78,1,29,1,4,77,8,2
COCI-2024,86,3,29,6,4,70,0,2
COCI-2025,52,1,29,3,4,93,15,3
EGOI-2023,13,0,7,1,0,33,10,0
EGOI-2024,0,0,7,0,2,47,8,0
EJOI-2023,0,0,25,2,11,10,0,0
EJOI-2024,8,0,13,2,9,16,0,0
IATI-2024,12,7,20,6,1,38,2,2
IOI-2023,0,0,5,0,4,39,0,0
IOI-2024,0,0,14,2,0,31,0,1
JOI-2023,0,0,0,0,0,0,0,0
JOI-2024,3,0,27,4,21,101,0,4
NOINordic-2023,9,0,1,4,0,10,0,0
NOINordic-2024,0,0,1,0,0,22,1,0
NOINordic-2025,2,0,14,0,0,8,0,0
OOI-2023,16,0,33,6,0,73,5,3
OOI-2024,15,0,54,2,0,57,8,0
RMI-2023,0,0,11,3,5,28,0,1
RMI-2024,0,0,10,0,10,25,3,0
USACO-2023,95,105,104,15,14,47,0,4
USACO-2024,61,105,104,13,19,77,0,5
USACO-2025,53,84,66,8,10,63,0,4
