problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.270,5.16796875,,2,1,2,5,5,0,0
s2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.070,2.58984375,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.130,14.6328125,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,2.65%,0.100,2.84765625,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,23.21%,4.410,99.5234375,,5,0,0,0,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.720,178.1953125,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,1.71%,0.240,45.953125,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,0.56%,4.440,23.41796875,,0,0,0,0,0,0,0
d2p3,MEMORY_LIMIT_EXCEEDED,0,1.15%,0.570,1125.09765625,,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,1.71875,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.090,2.34375,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,3,16.13%,0.050,2.078125,,3,0,0,0,0,0,0
j5,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
TOTAL,,53,23.16%,,,20.00%,,,,,,,
