competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,825,930,6230,1518,7620,10027,3306,6064
APIO-2023,0,0,8,2,5,5,0,4
APIO-2024,0,0,2,2,18,0,0,2
BOI-2023,0,0,0,0,10,32,0,6
BOI-2024,0,0,0,0,0,0,0,0
BOI-2025,0,0,6,2,10,21,2,7
CCO-2023,15,0,30,1,8,48,5,21
CCO-2024,11,0,20,1,25,41,7,23
CEOI-2023,0,0,4,0,23,7,7,7
CEOI-2024,0,0,11,2,12,13,1,9
COCI-2023,4,0,41,3,54,79,0,19
COCI-2024,17,3,31,3,46,93,0,7
COCI-2025,6,0,40,5,46,80,14,9
EGOI-2023,0,0,4,4,7,32,13,4
EGOI-2024,0,0,1,2,9,40,9,3
EJOI-2023,0,0,9,8,17,0,7,7
EJOI-2024,0,0,18,0,19,9,0,2
IATI-2024,0,6,26,6,18,22,7,3
IOI-2023,0,0,2,0,37,7,0,2
IOI-2024,0,0,9,2,17,17,0,3
JOI-2023,0,0,0,0,0,0,0,0
JOI-2024,0,0,0,0,0,0,0,0
JOI-2025,0,0,9,8,7,8,0,8
NOINordic-2023,0,0,4,2,2,9,5,2
NOINordic-2024,0,0,5,1,4,13,1,0
NOINordic-2025,0,0,7,4,6,6,0,1
OOI-2023,2,0,19,13,0,25,58,19
OOI-2024,0,0,15,5,0,27,83,6
RMI-2023,0,0,0,0,0,0,0,0
RMI-2024,0,0,0,0,0,0,0,0
USACO-2023,0,0,0,0,0,0,0,0
USACO-2024,0,0,0,0,0,0,0,0
USACO-2025,0,0,0,0,0,0,0,0
