problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.200,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.020,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.090,15.7265625,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,3.54%,0.040,2.84765625,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,1.060,91.046875,,5,5,7,8,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.080,17.796875,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.020,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.050,2.34375,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,0.030,3.9296875,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,0.010,0.00390625,,1,4,5,5,0,0,0
TOTAL,,130,50.35%,,,50.00%,,,,,,,
